case:concept:name,concept:name,time:timestamp
02182500/2015,cecon-despachoassinado,2015-08-17 10:13:22
02182500/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-08-17 10:14:28
02182500/2015,cecon-despachoassinado,2015-09-17 11:24:01
02182500/2015,cecon-documentoassinadopelocontribuinte,2015-09-22 16:25:20
02182500/2015,cecon-redistribuído,2015-09-24 14:04:41
02182500/2015,cecon-despachoassinado,2015-09-30 08:52:12
02182500/2015,orientacaocecon-aguardandoanálisedoorientador,2015-09-30 08:59:10
02182500/2015,orientacaocecon-atodeaprovaçãoassinado,2015-09-30 16:56:53
02182500/2015,cecon-aguardandoprovidências,2015-09-30 16:58:12
02182500/2015,cecon-arquivado,2015-10-02 08:37:50
02182527/2015,cecon-protocolizado,2015-04-14 23:05:45
02182527/2015,cecon-distribuído,2015-04-14 23:05:45
02182527/2015,cecon-documentoassinadopelocontribuinte,2015-09-23 16:45:23
02182527/2015,cecon-redistribuído,2015-09-24 14:07:49
02182527/2015,cecon-despachoassinado,2015-09-30 16:15:27
02182527/2015,orientacaocecon-aguardandoanálisedoorientador,2015-12-16 11:19:13
02182527/2015,orientacaocecon-analisado,2015-12-17 08:13:06
02182527/2015,cecon-aguardandoanálisedoconsultoria,2015-12-17 08:13:12
02182527/2015,cecon-analisado,2015-12-21 15:09:34
02182527/2015,cecon-documentoassinado,2015-12-21 15:48:18
02182527/2015,orientacaocecon-aguardandoanálisedoorientador,2015-12-21 16:03:38
02182527/2015,orientacaocecon-analisado,2015-12-29 17:18:43
02182527/2015,cecon-aguardandoprovidências,2015-12-29 17:18:44
02182527/2015,cecon-redistribuído,2016-01-11 13:15:25
02182527/2015,cecon-despachoassinado,2016-01-13 09:39:55
02182527/2015,cecon-aguardandociênciadocontribuinte,2016-01-26 18:19:40
02182527/2015,cecon-analisado,2016-02-02 13:16:14
02182527/2015,cecon-aguardandociênciadocontribuinte,2016-02-02 13:16:26
02182527/2015,cecon-redistribuído,2016-03-18 16:44:43
02182527/2015,orientacaocecon-aguardandoanálisedoorientador,2016-03-21 14:12:20
02182527/2015,orientacaocecon-documentoassinado,2016-03-21 15:51:09
02182527/2015,cecon-aguardandoprovidências,2016-03-21 15:51:30
02182527/2015,orientacaocecon-analisado,2016-03-21 15:51:30
02182527/2015,cecon-arquivado,2016-03-23 10:59:19
02219846/2015,cecon-protocolizado,2015-04-15 17:48:49
02219846/2015,cecon-distribuído,2015-04-15 17:48:54
02219846/2015,cecon-despachoassinado,2015-05-08 10:52:18
02219846/2015,cexatáguafria-aguardandoprovidências,2015-05-13 10:46:44
02219846/2015,cexatáguafria-declaraçãoassinada,2015-06-24 10:51:07
02219846/2015,cexatáguafria-despachoassinado,2015-06-24 10:51:39
02219846/2015,cexatáguafria-documentoassinadopelocontribuinte,2015-06-24 11:43:54
02219846/2015,cecon-redistribuído,2015-06-25 16:18:59
02219846/2015,cecon-documentoassinadopelocontribuinte,2015-06-26 11:15:02
02219846/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-26 11:22:30
02219846/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-30 15:39:11
02219846/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-02 09:42:43
02219846/2015,cotri-aguardandoassinaturadocoordenador,2015-07-02 09:43:47
02219846/2015,cotri-analisado,2015-07-02 11:02:48
02219846/2015,cecon-aguardandoajustes,2015-07-02 11:02:56
02219846/2015,cecon-regimeespecialdetributaçãoassinado,2015-07-02 15:31:37
02219846/2015,cotri-aguardandoassinaturadocoordenador,2015-07-02 15:34:33
02219846/2015,cotri-atodeaprovaçãoassinado,2015-07-02 17:40:29
02219846/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-02 17:41:15
02219846/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-07-07 16:22:54
02219846/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-07-08 12:01:08
02219846/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-07-10 08:14:06
02219846/2015,cecon-aguardandoprovidências,2015-07-10 08:14:31
02219846/2015,cecon-arquivado,2015-07-10 08:15:11
02232699/2015,cecon-protocolizado,2015-04-16 11:00:34
02232699/2015,cecon-distribuído,2015-04-16 11:00:34
02232699/2015,cecon-documentoassinadopelocontribuinte,2015-04-23 16:50:03
02232699/2015,cecon-despachoassinado,2015-06-10 10:33:41
02232699/2015,cecon-documentoassinado,2015-11-10 09:33:34
02232699/2015,orientacaocecon-aguardandoanálisedoorientador,2015-11-10 10:35:17
02232699/2015,orientacaocecon-analisado,2015-11-16 17:13:20
02232699/2015,cotri-aguardandoanálisedocoordenador,2015-11-16 17:13:25
02232699/2015,cotri-analisado,2015-11-18 10:32:56
02232699/2015,gabinetesecretaria-aguardandoanálisedosecretário,2015-11-18 10:33:12
02232699/2015,gabinetesecretaria-regimeespecialdetributaçãoassinado,2015-12-08 10:19:03
02232699/2015,cecon-aguardandoprovidências,2015-12-10 10:07:56
02232699/2015,cecon-arquivado,2015-12-10 10:08:33
02233849/2015,cecon-protocolizado,2015-04-16 11:09:49
02233849/2015,cecon-distribuído,2015-04-16 11:09:50
02233849/2015,cecon-regimeespecialdetributaçãoassinado,2015-05-12 15:14:22
02233849/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-05-12 15:17:09
02233849/2015,orientacaocecon-atodeaprovaçãoassinado,2015-05-13 11:25:53
02233849/2015,cotri-aguardandoassinaturadocoordenador,2015-05-13 11:26:21
02233849/2015,cotri-aguardandodistribuição,2015-05-26 11:44:46
02233849/2015,cotri-atodeconcordânciadocontribuinteassinado,2015-06-10 16:24:13
02233849/2015,cecon-aguardandoprovidências,2015-06-10 16:25:17
02233849/2015,cecon-arquivado,2015-06-10 16:26:41
02362320/2015,cecon-protocolizado,2015-04-23 10:03:09
02362320/2015,cecon-distribuído,2015-04-23 10:03:09
02362320/2015,cecon-despachoassinado,2015-05-11 15:17:59
02362320/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-05-11 15:18:16
02362320/2015,cecon-ciente,2015-06-22 16:35:31
02362320/2015,cecon-documentoassinadopelocontribuinte,2015-06-25 16:03:02
02362320/2015,cecon-despachoassinado,2015-06-26 11:05:38
02362320/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-06-26 11:06:16
02362320/2015,cecon-ciente,2015-06-29 14:29:37
02362320/2015,cecon-documentoassinadopelocontribuinte,2015-07-01 10:36:02
02362320/2015,cecon-despachoassinado,2015-07-08 15:53:16
02362320/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-07-08 15:54:50
02362320/2015,cecon-ciente,2015-08-11 09:16:48
02362320/2015,cecon-documentoassinadopelocontribuinte,2015-08-11 15:27:26
02362320/2015,cecon-regimeespecialdetributaçãoassinado,2015-08-13 14:39:46
02362320/2015,cecon-aguardandoassinaturadoorientador,2015-08-13 14:48:25
02362320/2015,cecon-analisado,2015-08-21 11:19:09
02362320/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-08-21 11:19:19
02362320/2015,orientacaocecon-atodeaprovaçãoassinado,2015-08-24 09:56:33
02362320/2015,cotri-aguardandoassinaturadocoordenador,2015-08-24 09:56:52
02362320/2015,cotri-atodeaprovaçãoassinado,2015-08-26 11:56:20
02362320/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-08-26 11:58:08
02362320/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-09-21 12:05:28
02362320/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-09-25 08:03:22
02362320/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-10-05 08:44:22
02362320/2015,cecon-aguardandoprovidências,2015-10-05 09:28:00
02362320/2015,cecon-arquivado,2015-10-05 10:06:07
02381198/2015,cecon-protocolizado,2015-04-23 15:25:01
02381198/2015,cecon-distribuído,2015-04-23 15:25:02
02381198/2015,cecon-despachoassinado,2015-05-14 14:41:36
02381198/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-05-15 14:11:55
02381198/2015,cecon-documentoassinadopelocontribuinte,2015-05-22 11:40:48
02381198/2015,cecon-regimeespecialdetributaçãoassinado,2015-05-26 16:26:12
02381198/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-05-26 16:46:44
02381198/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-20 09:07:52
02381198/2015,cotri-aguardandoassinaturadocoordenador,2015-07-20 09:08:19
02381198/2015,cotri-atodeaprovaçãoassinado,2015-07-20 10:59:47
02381198/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-20 11:00:28
02381198/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-08-07 17:29:59
02381198/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-08-10 08:13:30
02381198/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-08-13 16:04:43
02381198/2015,cecon-aguardandoprovidências,2015-08-13 16:05:21
02381198/2015,cecon-arquivado,2015-08-13 16:05:48
02475478/2015,cecon-protocolizado,2015-04-28 11:50:42
02475478/2015,cecon-distribuído,2015-04-28 11:50:44
02475478/2015,cecon-despachoassinado,2015-04-30 11:53:12
02475478/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-04-30 11:53:33
02475478/2015,cecon-distribuído,2015-05-05 17:28:54
02475478/2015,cecon-documentoassinadopelocontribuinte,2015-05-06 11:52:50
02475478/2015,cecon-despachoassinado,2015-05-14 16:52:53
02475478/2015,cecon-aguardandoassinaturadoconsultoria,2015-05-14 16:54:03
02475478/2015,cecon-despachoassinado,2015-05-14 16:59:42
02475478/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-05-14 16:59:56
02475478/2015,cecon-ciente,2015-06-03 10:56:25
02475478/2015,cecon-despachoassinado,2015-06-08 16:35:55
02475478/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-06-08 16:36:30
02475478/2015,cecon-ciente,2015-06-17 11:04:45
02475478/2015,cecon-documentoassinadopelocontribuinte,2015-06-18 16:30:16
02475478/2015,cecon-regimeespecialdetributaçãoassinado,2015-07-08 09:46:39
02475478/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-07-08 10:01:47
02475478/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-20 09:06:42
02475478/2015,cotri-aguardandoassinaturadocoordenador,2015-07-20 09:07:04
02475478/2015,cotri-atodeaprovaçãoassinado,2015-07-20 10:26:55
02475478/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-20 10:27:33
02475478/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-08-07 17:35:30
02475478/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-08-10 08:21:10
02475478/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-08-24 09:19:53
02475478/2015,cecon-aguardandoprovidências,2015-08-24 09:20:30
02475478/2015,cecon-arquivado,2015-08-24 09:20:53
02503420/2015,cecon-protocolizado,2015-04-29 10:15:47
02503420/2015,cecon-distribuído,2015-04-29 10:15:48
02503420/2015,cecon-despachoassinado,2015-05-07 16:44:17
02503420/2015,cexatmaracanau-aguardandoinformaçãofiscal,2015-06-05 16:27:59
02503420/2015,cexatmaracanau-ajustado,2015-06-25 10:32:32
02503420/2015,cecon-aguardandoanálisedoconsultoria,2015-06-25 10:32:49
02503420/2015,cecon-despachoassinado,2015-06-25 10:38:50
02503420/2015,cexatmaracanau-aguardandoinformaçãofiscal,2015-06-25 10:40:22
02503420/2015,cexatmaracanau-informaçãofiscalassinada,2015-06-26 11:37:41
02503420/2015,cecon-aguardandoanálisedoconsultoria,2015-06-26 13:50:36
02503420/2015,cecon-documentoassinadopelocontribuinte,2015-06-26 15:27:50
02503420/2015,cecon-regimeespecialdetributaçãoassinado,2015-07-02 10:19:01
02503420/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-07-02 10:36:07
02503420/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-02 10:38:03
02503420/2015,cotri-aguardandoassinaturadocoordenador,2015-07-02 10:40:29
02503420/2015,cotri-atodeaprovaçãoassinado,2015-07-02 11:45:18
02503420/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-02 11:45:58
02503420/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-07-07 16:17:46
02503420/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-07-08 11:28:41
02503420/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-07-09 17:22:09
02503420/2015,gabinetesecretaria-arquivado,2015-07-09 17:22:56
02681701/2015,cecon-protocolizado,2015-05-05 16:01:10
02681701/2015,cecon-distribuído,2015-05-05 16:01:10
02681701/2015,cecon-despachoassinado,2015-05-19 10:33:16
02681701/2015,cecon-documentoassinadopelocontribuinte,2015-05-28 11:42:05
02681701/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-02 09:20:08
02681701/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-02 09:30:17
02681701/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-07 20:44:21
02681701/2015,cotri-aguardandoassinaturadocoordenador,2015-07-07 20:45:03
02681701/2015,cotri-atodeaprovaçãoassinado,2015-09-18 15:41:11
02681701/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-09-18 15:41:59
02681701/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-09-21 12:15:41
02681701/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-09-29 10:34:53
02681701/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-10-09 10:47:13
02681701/2015,cecon-aguardandoprovidências,2015-10-09 11:20:58
02681701/2015,cecon-arquivado,2015-10-09 11:21:24
02772847/2015,cecon-protocolizado,2015-05-08 10:37:29
02772847/2015,cecon-distribuído,2015-05-08 10:37:31
02772847/2015,cecon-despachoassinado,2015-05-14 16:04:13
02772847/2015,cecon-aguardandodocumento,2015-05-14 16:06:04
02772847/2015,cecon-documentoassinadopelocontribuinte,2015-05-28 17:05:22
02772847/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-10 11:55:44
02772847/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-10 13:56:46
02772847/2015,orientacaocecon-atodeaprovaçãoassinado,2015-06-19 11:18:50
02772847/2015,cotri-aguardandoassinaturadocoordenador,2015-06-19 11:19:46
02772847/2015,cotri-atodeaprovaçãoassinado,2015-06-19 11:56:50
02772847/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-06-19 11:57:42
02772847/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-06-19 21:06:57
02772847/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-06-22 08:29:17
02772847/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-06-22 14:24:51
02772847/2015,cecon-aguardandoprovidências,2015-06-22 14:24:59
02772847/2015,cecon-arquivado,2015-06-22 14:25:19
03029862/2015,cecon-protocolizado,2015-05-19 15:56:19
03029862/2015,cecon-distribuído,2015-05-19 15:56:26
03029862/2015,cecon-despachoassinado,2015-05-20 14:17:36
03029862/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-05-20 14:18:08
03029862/2015,cecon-ciente,2015-05-27 09:40:25
03029862/2015,cecon-documentoassinadopelocontribuinte,2015-05-29 11:20:22
03029862/2015,cecon-despachoassinado,2015-06-08 09:49:35
03029862/2015,cecon-aguardandociênciadocontribuinte,2015-06-08 09:50:46
03029862/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-09 15:42:59
03029862/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-09 15:57:21
03029862/2015,orientacaocecon-documentoassinadopelocontribuinte,2015-06-11 10:31:29
03029862/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-17 17:24:32
03029862/2015,cotri-aguardandoassinaturadocoordenador,2015-07-17 17:24:56
03029862/2015,cotri-atodeaprovaçãoassinado,2015-07-20 15:36:45
03029862/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-20 15:37:22
03029862/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-08-26 19:58:46
03029862/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-08-27 16:29:22
03029862/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-09-02 15:08:47
03029862/2015,cecon-aguardandoprovidências,2015-09-02 15:13:29
03029862/2015,cecon-arquivado,2015-09-02 15:13:59
03155612/2015,cecon-protocolizado,2015-05-25 15:18:12
03155612/2015,cecon-distribuído,2015-05-25 15:18:12
03155612/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-05-28 08:35:22
03155612/2015,orientacaocecon-negado,2015-06-08 09:40:31
03155612/2015,cecon-aguardandodocumento,2015-06-08 09:41:49
03155612/2015,cecon-despachoassinado,2015-06-09 10:53:00
03155612/2015,cecon-aguardandociênciadocontribuinte,2015-06-09 10:53:55
03155612/2015,cecon-ciente,2015-06-09 16:30:55
03155612/2015,cecon-documentoassinadopelocontribuinte,2015-06-16 15:54:23
03155612/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-17 09:43:24
03155612/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-17 09:59:12
03155612/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-17 17:16:27
03155612/2015,cotri-aguardandoassinaturadocoordenador,2015-07-17 17:16:43
03155612/2015,cotri-atodeaprovaçãoassinado,2015-07-20 10:38:59
03155612/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-07-20 10:40:45
03155612/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-09-21 09:53:49
03155612/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-09-21 09:54:04
03155612/2015,gabinetesecretaria-redistribuído,2015-09-22 11:51:45
03155612/2015,cecon-aguardandoajustes,2015-09-22 11:52:09
03155612/2015,cecon-ajustado,2015-09-23 09:41:12
03155612/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-09-23 09:48:02
03155612/2015,orientacaocecon-assinadopeloorientador,2015-09-28 11:10:43
03155612/2015,cotri-aguardandoassinaturadocoordenador,2015-09-28 11:11:07
03155612/2015,cotri-analisado,2015-10-19 09:55:40
03155612/2015,gabinetesecretaria-aguardandoanálisedosecretário,2015-10-19 09:56:01
03155612/2015,cecon-aguardandoprovidências,2016-02-17 13:40:10
03155612/2015,gabinetesecretaria-analisado,2016-02-17 13:40:10
03155612/2015,cecon-ajustado,2016-03-04 15:20:37
03155612/2015,cecon-aguardandociênciadocontribuinte,2016-03-04 15:21:03
03155612/2015,cecon-ciente,2016-03-04 16:18:26
03155612/2015,cecon-regimeespecialdetributaçãoassinado,2016-03-09 13:20:08
03155612/2015,cecon-arquivado,2016-03-09 15:39:42
03155612/2015,cecon-desarquivado,2016-03-10 15:37:51
03155612/2015,cecon-documentoassinadopelocontribuinte,2016-03-10 18:01:14
03155612/2015,cecon-arquivado,2016-03-11 07:25:54
03242809/2015,cecon-protocolizado,2015-05-28 11:38:17
03242809/2015,cecon-distribuído,2015-05-28 11:38:18
03242809/2015,cecon-regimeespecialdetributaçãoassinado,2015-08-06 11:39:24
03242809/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-09-01 09:27:53
03242809/2015,orientacaocecon-analisado,2015-09-10 08:51:21
03242809/2015,cecon-aguardandoprovidências,2015-09-10 08:51:26
03242809/2015,cecon-ajustado,2015-09-10 16:04:12
03242809/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-09-10 16:04:22
03242809/2015,orientacaocecon-atodeaprovaçãoassinado,2015-09-11 12:13:33
03242809/2015,cotri-aguardandoassinaturadocoordenador,2015-09-11 12:13:56
03242809/2015,cotri-atodeaprovaçãoassinado,2015-09-18 15:20:53
03242809/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-09-18 15:22:59
03242809/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-09-21 12:09:37
03242809/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-09-24 16:06:40
03242809/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-09-30 09:30:58
03242809/2015,cecon-aguardandoprovidências,2015-09-30 15:26:29
03242809/2015,cecon-arquivado,2015-09-30 15:27:10
03244054/2015,cecon-protocolizado,2015-05-28 12:12:03
03244054/2015,cecon-distribuído,2015-05-28 12:12:04
03244054/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-06-01 09:02:37
03244054/2015,cecon-ciente,2015-06-11 11:13:58
03244054/2015,cecon-despachoassinado,2015-06-16 07:47:08
03244054/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-06-16 07:47:37
03244054/2015,cecon-ciente,2015-07-15 12:14:06
03244054/2015,cecon-documentoassinadopelocontribuinte,2015-07-20 15:56:08
03244054/2015,cecon-redistribuído,2015-10-20 09:40:10
03244054/2015,orientacaocecon-aguardandoanálisedoorientador,2015-10-20 17:42:35
03244054/2015,orientacaocecon-analisado,2015-10-22 18:02:14
03244054/2015,cotri-aguardandoanálisedocoordenador,2015-10-22 18:02:28
03244054/2015,cotri-analisado,2015-10-23 17:13:25
03244054/2015,gabinetesecretaria-aguardandoanálisedosecretário,2015-10-23 17:13:41
03244054/2015,gabinetesecretaria-regimeespecialdetributaçãoassinado,2015-11-17 10:57:54
03244054/2015,cecon-aguardandoprovidências,2015-12-10 10:18:28
03244054/2015,cecon-arquivado,2015-12-10 10:19:06
03255161/2015,cecon-protocolizado,2015-05-28 15:44:56
03255161/2015,cecon-distribuído,2015-05-28 15:44:57
03255161/2015,cecon-despachoassinado,2015-06-03 15:05:00
03255161/2015,cecon-aguardandociênciadocontribuinte,2015-06-03 15:06:46
03255161/2015,cecon-ciente,2015-06-03 16:51:10
03255161/2015,cecon-documentoassinadopelocontribuinte,2015-06-15 14:59:13
03255161/2015,cecon-despachoassinado,2015-06-15 15:16:13
03255161/2015,cecon-aguardandociênciadocontribuinte,2015-06-15 15:18:09
03255161/2015,cecon-ciente,2015-06-16 08:34:21
03255161/2015,cecon-regimeespecialdetributaçãoassinado,2015-06-19 11:17:04
03255161/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-06-19 11:22:47
03255161/2015,orientacaocecon-atodeaprovaçãoassinado,2015-06-19 11:35:21
03255161/2015,cotri-aguardandoassinaturadocoordenador,2015-06-19 11:36:59
03255161/2015,cotri-atodeaprovaçãoassinado,2015-06-19 11:47:12
03255161/2015,gabinetesecretaria-aguardandoassinaturadosecretário,2015-06-19 11:48:04
03255161/2015,gabinetesecretaria-atodeaprovaçãoassinado,2015-06-19 21:03:46
03255161/2015,gabinetesecretaria-aguardandoassinaturadocontribuinte,2015-06-22 08:26:24
03255161/2015,gabinetesecretaria-atodeconcordânciadocontribuinteassinado,2015-07-10 10:55:22
03255161/2015,cecon-aguardandoprovidências,2015-07-10 10:56:00
03255161/2015,cecon-atodeconcordânciadocontribuinteassinado,2015-07-13 15:32:31
03255161/2015,cecon-arquivado,2015-07-13 15:33:16
03324155/2015,cecon-protocolizado,2015-06-02 09:53:11
03324155/2015,cecon-distribuído,2015-06-02 09:53:13
03324155/2015,cecon-aguardandociênciadocontribuinte,2015-06-05 16:00:16
03324155/2015,cecon-ciente,2015-06-08 10:18:46
03324155/2015,cecon-despachoassinado,2015-06-08 10:56:31
03324155/2015,cecon-aguardandociênciadocontribuinte,2015-06-08 10:57:01
03324155/2015,cecon-ciente,2015-06-08 14:09:38
03324155/2015,cecon-arquivado,2015-07-06 15:49:53
03350156/2015,cecon-protocolizado,2015-06-02 19:33:25
03350156/2015,cecon-distribuído,2015-06-02 19:33:25
03350156/2015,cecon-despachoassinado,2015-06-03 11:36:46
03350156/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-07-24 11:21:49
03350156/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-31 12:03:01
03350156/2015,cecon-aguardandociênciadocontribuinte,2015-07-31 12:04:01
03350156/2015,cecon-analisado,2015-07-31 16:28:30
03350156/2015,cecon-arquivado,2015-08-12 14:10:11
03364793/2015,cecon-protocolizado,2015-06-03 11:16:54
03364793/2015,cecon-distribuído,2015-06-03 11:16:56
03364793/2015,cecon-redistribuído,2015-06-08 10:02:07
03364793/2015,cecon-despachoassinado,2015-06-08 16:41:21
03364793/2015,cecon-aguardandodocumentoe/ouinformaçõesdocontribuinte,2015-06-08 16:41:45
03364793/2015,cecon-ciente,2015-06-18 15:50:56
03364793/2015,cecon-despachoassinado,2015-07-09 14:15:04
03364793/2015,orientacaocecon-aguardandoassinaturadoorientador,2015-07-09 14:20:06
03364793/2015,orientacaocecon-atodeaprovaçãoassinado,2015-07-17 17:07:18
03364793/2015,cotri-aguardandoprovidências,2015-07-17 17:07:39
03364793/2015,cotri-analisado,2015-07-20 08:36:30
