,CaseID
160,07749789/2015
161,07756971/2015
162,07760430/2015
163,07763277/2015
164,07779262/2015
165,07787842/2015
166,07796957/2015
167,07834379/2015
168,07858715/2015
169,07879178/2015
170,07883701/2015
171,07890066/2015
172,07895653/2015
173,07895688/2015
174,07900495/2015
175,07908305/2015
176,07909379/2015
177,07931510/2015
178,07938247/2015
179,07945200/2015
180,07960811/2015
181,07979270/2015
182,07985105/2015
183,08016335/2015
184,08027957/2015
185,08029054/2015
186,08031687/2015
187,08047036/2015
188,08056515/2015
189,08060610/2015
190,08115546/2015
191,08163036/2015
192,08175867/2015
193,08182910/2015
194,08183487/2015
195,08185404/2015
196,08185579/2015
197,08185650/2015
198,08186451/2015
199,08186729/2015
200,08187466/2015
201,08193253/2015
202,08206886/2015
203,08207378/2015
204,08207785/2015
205,08207874/2015
206,08207882/2015
207,00016266/2016
208,00039142/2016
209,00066328/2016
210,00078121/2016
211,00079705/2016
212,00179785/2016
213,00183049/2016
214,00213975/2016
215,00476054/2016
216,00553113/2016
217,00572134/2016
218,00605440/2016
219,00719470/2016
220,00814642/2016
221,00829895/2016
222,00851777/2016
223,00931088/2016
224,00931770/2016
225,00996287/2016
226,01033431/2016
227,01051014/2016
228,01066194/2016
229,01116744/2016
230,01135676/2016
231,01198325/2016
232,01227740/2016
233,01318436/2016
234,01321330/2016
235,01333931/2016
236,01543693/2016
237,01730876/2016
238,01730957/2016
239,01798578/2016
240,01898335/2016
241,01926444/2016
242,01931626/2016
243,01953328/2016
244,02025394/2016
245,02056290/2016
246,02084340/2016
247,02215444/2016
248,02244592/2016
249,02244738/2016
250,02253575/2016
251,02327692/2016
252,02328141/2016
253,02375913/2016
254,02398662/2016
255,02506066/2016
256,02509340/2016
257,02605978/2016
258,02629419/2016
259,02643420/2016
260,02644620/2016
261,02673426/2016
262,02680376/2016
263,02699093/2016
264,02724730/2016
265,02734549/2016
266,02734867/2016
267,02736070/2016
268,02737181/2016
269,02737262/2016
270,02759665/2016
271,02760710/2016
272,02761945/2016
273,02793898/2016
274,02862970/2016
275,02940076/2016
276,03029296/2016
277,03150583/2016
278,03174326/2016
279,03190291/2016
280,03212090/2016
281,03350809/2016
282,03595437/2016
283,03603898/2016
284,03611343/2016
285,03733155/2016
286,03798192/2016
287,03829446/2016
288,03935289/2016
289,03967296/2016
290,03972060/2016
291,04028188/2016
292,04045341/2016
293,04075992/2016
294,04184910/2016
295,04326235/2016
296,04385932/2016
297,04548408/2016
298,04560041/2016
299,04602160/2016
300,04620850/2016
301,04731989/2016
302,04803297/2016
303,04874054/2016
304,04936505/2016
305,04974164/2016
306,04990550/2016
307,05090200/2016
308,05122579/2016
309,05372591/2016
310,05392347/2016
311,05392444/2016
312,05422173/2016
313,05562463/2016
314,05562706/2016
315,05656514/2016
316,05700319/2016
317,05807660/2016
318,05829540/2016
319,05854472/2016
320,05866012/2016
321,05872284/2016
322,06031534/2016
323,06088889/2016
324,06149330/2016
325,06149349/2016
326,06150177/2016
327,06453803/2016
328,06461903/2016
329,06461938/2016
330,06469823/2016
331,06517720/2016
332,06546216/2016
333,06546224/2016
334,06546518/2016
335,06671185/2016
336,06785873/2016
337,06796620/2016
338,06801976/2016
339,06801984/2016
340,06849022/2016
341,06905143/2016
342,06918253/2016
343,06936235/2016
344,06942685/2016
345,06964069/2016
346,06968269/2016
347,06968854/2016
348,06987239/2016
349,07014250/2016
350,07043579/2016
351,07044109/2016
352,07055143/2016
353,07058215/2016
354,07066943/2016
355,07074970/2016
356,07092154/2016
357,07093231/2016
358,07097806/2016
359,07100661/2016
360,07105531/2016
361,07105736/2016
362,07111639/2016
363,07113607/2016
364,07113852/2016
365,07114824/2016
366,07115081/2016
367,07115090/2016
368,07115553/2016
369,07125931/2016
370,07128612/2016
371,07145932/2016
372,07146777/2016
373,07148753/2016
374,07150472/2016
375,07151460/2016
376,07151657/2016
377,07172310/2016
378,07210793/2016
379,07268740/2016
380,07293320/2016
381,07296051/2016
382,07297813/2016
383,07303023/2016
384,07304186/2016
385,07311913/2016
386,07337599/2016
387,07344447/2016
388,07348477/2016
389,07370910/2016
390,07371088/2016
391,07372793/2016
392,07374532/2016
393,07374745/2016
394,07390465/2016
395,07393472/2016
396,07404784/2016
397,07412345/2016
398,07456261/2016
399,07497669/2016
400,07533703/2016
401,07543687/2016
402,07547321/2016
403,07550705/2016
404,07550799/2016
405,07551213/2016
406,07566300/2016
407,07566458/2016
408,07566504/2016
409,07569562/2016
410,07570889/2016
411,07575759/2016
412,07581023/2016
413,07592149/2016
414,07599402/2016
415,07599470/2016
416,07618903/2016
417,07654160/2016
418,07681184/2016
419,07684345/2016
420,07692984/2016
421,07730398/2016
422,07737406/2016
423,07738623/2016
424,07766112/2016
425,07772376/2016
426,07873202/2016
427,07876295/2016
428,07876600/2016
429,07878069/2016
430,07879219/2016
431,07880250/2016
432,07881698/2016
433,07886967/2016
434,07897330/2016
435,07905090/2016
436,07911333/2016
437,07935755/2016
438,07985620/2016
439,07992031/2016
440,07992155/2016
441,07996550/2016
442,08028867/2016
443,08031922/2016
444,08042266/2016
445,08049260/2016
446,08052261/2016
447,08073935/2016
448,08094215/2016
449,08109476/2016
450,08109484/2016
451,08126770/2016
452,08130130/2016
453,08146185/2016
454,08148560/2016
455,08148668/2016
456,08151731/2016
457,08162733/2016
458,08183820/2016
459,08187825/2016
460,08190460/2016
461,08200511/2016
462,08231484/2016
463,08274779/2016
464,08289199/2016
465,08300362/2016
466,08339790/2016
467,08354535/2016
468,08357933/2016
469,08396920/2016
470,08426382/2016
471,08443872/2016
472,08478013/2016
473,08528339/2016
474,08581876/2016
475,00016196/2017
476,00035654/2017
477,00050483/2017
478,00051374/2017
479,00075478/2017
480,00254445/2017
481,00366235/2017
482,00367940/2017
483,00445704/2017
484,00448274/2017
485,00459918/2017
486,00521087/2017
487,00587711/2017
488,00601994/2017
489,00629430/2017
490,00645371/2017
491,00651940/2017
492,00673731/2017
493,00714799/2017
494,00865614/2017
495,00879488/2017
496,00879704/2017
497,00914011/2017
498,00929221/2017
499,00936341/2017
500,00952088/2017
501,01054733/2017
502,01058895/2017
503,01088433/2017
504,01141296/2017
505,01230957/2017
506,01405110/2017
507,01422236/2017
508,01461770/2017
509,01615999/2017
510,01673468/2017
511,01956303/2017
512,02016770/2017
513,02266882/2017
514,02329396/2017
515,02363381/2017
516,02365015/2017
517,02370833/2017
518,02386624/2017
519,02399440/2017
520,02493390/2017
521,02534267/2017
522,02691591/2017
523,02757142/2017
524,02810566/2017
525,02825466/2017
526,02875471/2017
527,02903548/2017
528,02907969/2017
529,02916410/2017
530,02956986/2017
531,02959306/2017
532,03051480/2017
533,03099688/2017
534,03200710/2017
535,03217257/2017
536,03280668/2017
537,03320279/2017
538,03337767/2017
539,03467113/2017
540,03488811/2017
541,03588930/2017
542,03683550/2017
543,03696414/2017
544,03707866/2017
545,03759300/2017
546,03776710/2017
547,03818579/2017
548,03831940/2017
549,03994814/2017
550,04149387/2017
551,04274912/2017
552,04286686/2017
553,04414595/2017
554,04442971/2017
555,04607016/2017
556,04671865/2017
557,04691629/2017
558,04774524/2017
559,04990570/2017
560,05000662/2017
561,05123560/2017
562,05353034/2017
563,05612889/2017
564,05628033/2017
565,05637431/2017
566,05877149/2017
567,05996768/2017
568,08136573/2017
569,08134210/2017
570,06136266/2017
571,06194142/2017
572,06216995/2017
573,06241698/2017
574,06352570/2017
575,06406220/2017
576,06522000/2017
577,06729321/2017
578,06833080/2017
579,06843434/2017
580,06862072/2017
581,06879099/2017
582,07002760/2017
583,07039060/2017
584,07056908/2017
585,07057351/2017
586,07106220/2017
587,07186062/2017
588,07189444/2017
589,07200456/2017
590,07219882/2017
591,07222948/2017
592,07236329/2017
593,07249218/2017
594,07326700/2017
595,07347384/2017
596,07367814/2017
597,07473029/2017
598,07569220/2017
599,07571179/2017
600,07576316/2017
601,07576510/2017
602,07589825/2017
603,07607599/2017
604,07607823/2017
605,07609001/2017
606,07628448/2017
607,07628685/2017
608,07641533/2017
609,07642254/2017
610,07645890/2017
611,07647949/2017
612,07663405/2017
613,07664274/2017
614,07669837/2017
615,07679310/2017
616,07685409/2017
617,07685980/2017
618,07688157/2017
619,07709073/2017
620,07709618/2017
621,07710446/2017
622,07710519/2017
623,07752882/2017
624,07783630/2017
625,07843489/2017
626,07862173/2017
627,07887885/2017
628,07898291/2017
629,07906987/2017
630,07930659/2017
631,07935510/2017
632,07951311/2017
633,07953209/2017
634,07959533/2017
635,07960892/2017
636,07973072/2017
637,07990457/2017
638,07993243/2017
639,07993251/2017
640,07993278/2017
641,08012530/2017
642,08083968/2017
643,08090778/2017
644,08092746/2017
645,08094218/2017
646,08103411/2017
647,08109444/2017
648,08110299/2017
649,08159883/2017
650,08186635/2017
651,08196606/2017
652,08211311/2017
653,08234133/2017
654,08255343/2017
655,08256846/2017
656,08260274/2017
657,08276332/2017
658,08279153/2017
659,08281824/2017
660,08287199/2017
661,08314250/2017
662,08329118/2017
663,08334103/2017
664,08358266/2017
665,08362930/2017
666,08392570/2017
667,08412120/2017
668,08414042/2017
669,08420891/2017
670,08422797/2017
671,08423777/2017
672,08430862/2017
673,08431923/2017
674,08432989/2017
675,08471470/2017
676,08485586/2017
677,08489018/2017
678,08502189/2017
679,08502308/2017
680,08511960/2017
681,08531200/2017
682,08538736/2017
683,08550779/2017
684,08552011/2017
685,08552453/2017
686,08552488/2017
687,08565709/2017
688,08571318/2017
689,08586773/2017
690,08602159/2017
691,08621056/2017
692,08625361/2017
693,08628573/2017
694,08651192/2017
695,08657409/2017
696,08677469/2017
697,08688045/2017
698,08715573/2017
699,08720127/2017
700,08768715/2017
701,08799009/2017
702,08811718/2017
703,08835927/2017
704,08854573/2017
705,08856487/2017
706,08867101/2017
707,08895482/2017
708,08897655/2017
709,08923370/2017
710,08954080/2017
711,09012266/2017
712,09017810/2017
713,09048716/2017
714,09146068/2017
715,09149300/2017
716,09164007/2017
717,09235265/2017
718,00013254/2018
719,00016180/2018
720,00017772/2018
721,00020480/2018
722,00069616/2018
723,00076400/2018
724,00088254/2018
725,00169513/2018
726,00176978/2018
727,00186493/2018
728,00206214/2018
729,00209779/2018
730,00212486/2018
731,00250221/2018
732,00271504/2018
733,00327470/2018
734,00340689/2018
735,00396455/2018
736,00401947/2018
737,00413996/2018
738,00857711/2018
739,00461648/2018
740,00560840/2018
741,00588702/2018
742,00589628/2018
743,00599909/2018
744,00603167/2018
745,00683128/2018
746,00784374/2018
747,00791338/2018
748,00791885/2018
749,00898442/2018
750,00932250/2018
751,00998358/2018
752,01006456/2018
753,01016397/2018
754,01080354/2018
755,01080478/2018
756,01166623/2018
757,01177960/2018
758,01301059/2018
759,01363879/2018
760,01380978/2018
761,01496780/2018
762,01603942/2018
763,01793059/2018
764,01948150/2018
765,02017702/2018
766,02105091/2018
767,02269850/2018
768,02364151/2018
769,02374300/2018
770,02399079/2018
771,02443264/2018
772,02486370/2018
773,02488853/2018
774,02565866/2018
775,02685691/2018
776,02785920/2018
777,03285301/2018
778,03326199/2018
779,03370090/2018
780,03372905/2018
781,03503449/2018
782,03621484/2018
783,03843797/2018
784,03912454/2018
785,03920856/2018
786,03970683/2018
787,04018617/2018
788,04054141/2018
789,04118964/2018
790,04124409/2018
791,04160154/2018
792,04172357/2018
793,04247080/2018
794,04256836/2018
795,04324777/2018
796,04455626/2018
797,04471672/2018
798,04584566/2018
799,04739691/2018
800,04793297/2018
801,04896827/2018
802,05070230/2018
803,05162436/2018
804,05216951/2018
805,05577865/2018
806,05793703/2018
807,05921949/2018
808,05980309/2018
809,05988784/2018
810,06029225/2018
811,06114192/2018
812,06132999/2018
813,06183887/2018
814,06222181/2018
815,06308337/2018
816,06311893/2018
817,06314426/2018
818,06378076/2018
819,06384246/2018
820,06532318/2018
821,06630034/2018
822,06636415/2018
823,06781792/2018
824,06882386/2018
825,06932189/2018
826,06980582/2018
827,07170932/2018
828,07173265/2018
829,07192162/2018
830,07268584/2018
831,07303290/2018
832,07337535/2018
833,07435006/2018
834,07492719/2018
835,07536279/2018
836,07570345/2018
837,07705364/2018
838,07741980/2018
839,07846073/2018
840,07866252/2018
841,07909512/2018
842,08047433/2018
843,08053379/2018
844,08053395/2018
845,08119736/2018
846,08150692/2018
847,08175423/2018
848,08197800/2018
849,08197885/2018
850,08263055/2018
851,08273808/2018
852,08276483/2018
853,08279954/2018
854,08291865/2018
855,08305319/2018
856,08311670/2018
857,08366369/2018
858,08447377/2018
859,08475176/2018
860,08491120/2018
861,08648275/2018
862,08696989/2018
863,08846506/2018
864,08849602/2018
865,08876570/2018
866,08885994/2018
867,08927492/2018
868,09032480/2018
869,09039310/2018
870,09054433/2018
871,09054867/2018
872,09055448/2018
873,09056630/2018
874,09074973/2018
875,09079860/2018
876,09082895/2018
877,09112450/2018
878,09169303/2018
879,09229314/2018
880,09232536/2018
881,09233702/2018
882,09235446/2018
883,09235586/2018
884,09274336/2018
885,09304197/2018
886,09312963/2018
887,09320052/2018
888,09326352/2018
889,09330058/2018
890,09339853/2018
891,09361077/2018
892,09379502/2018
893,09420065/2018
894,09423994/2018
895,09452919/2018
896,09480203/2018
897,09518103/2018
898,09554568/2018
899,09555599/2018
900,09615087/2018
901,09641703/2018
902,09650907/2018
903,09692650/2018
904,09698357/2018
905,09706988/2018
906,09707194/2018
907,09755482/2018
908,09834633/2018
909,09928468/2018
910,09934115/2018
911,09938196/2018
912,09942568/2018
913,01163896/2018
914,01369524/2018
915,01920085/2018
916,02192407/2018
917,02263983/2018
918,04541328/2018
919,04600871/2018
920,05016154/2018
921,05064809/2018
922,05168680/2018
923,05241751/2018
924,05274005/2018
925,05377157/2018
926,05961061/2018
927,06582234/2018
928,06700717/2018
929,06747039/2018
930,06953321/2018
931,06974876/2018
932,06986157/2018
933,07871981/2018
934,08195343/2018
935,08370862/2018
936,08529098/2018
937,08775331/2018
938,08862030/2018
939,08981861/2018
940,09019506/2018
941,09020261/2018
942,09212756/2018
943,09406402/2018
944,09466138/2018
945,09535016/2018
946,09669292/2018
947,09716797/2018
948,09721812/2018
949,10098286/2018
950,10116365/2018
951,10230702/2018
952,10241623/2018
953,10317220/2018
954,10332360/2018
955,10338180/2018
956,10339380/2018
957,10367864/2018
958,10414560/2018
959,10430817/2018
960,10467141/2018
961,10524269/2018
962,10592175/2018
963,10638590/2018
964,00092414/2019
965,00284020/2019
966,00310926/2019
967,00311590/2019
968,00336801/2019
969,00345436/2019
970,00369890/2019
971,00385322/2019
972,00399110/2019
973,00464265/2019
974,00466608/2019
975,00484690/2019
976,00511468/2019
977,00602501/2019
978,00622197/2019
979,00624530/2019
980,00656687/2019
981,00767489/2019
982,00787714/2019
983,00876024/2019
984,00876032/2019
985,01107180/2019
986,01252636/2019
987,01256569/2019
988,01487803/2019
989,01490995/2019
990,01660203/2019
991,01669715/2019
992,01701074/2019
993,01773580/2019
994,01831016/2019
995,01851696/2019
996,01872570/2019
997,01893488/2019
998,01969140/2019
999,02058477/2019
1000,02152309/2019
1001,02298842/2019
1002,02325696/2019
1003,02471552/2019
1004,02541666/2019
1005,02568637/2019
1006,02670253/2019
1007,02686915/2019
1008,02709761/2019
1009,02866409/2019
1010,02929605/2019
1011,02935931/2019
1012,03038054/2019
1013,03099622/2019
1014,03169744/2019
1015,03290349/2019
1016,03516894/2019
1017,03622910/2019
1018,03650450/2019
1019,03760710/2019
1020,03828470/2019
1021,03930348/2019
1022,04138710/2019
1023,04152276/2019
1024,04252432/2019
1025,04276862/2019
1026,04341982/2019
1027,04361223/2019
1028,04369780/2019
1029,04408807/2019
1030,04408939/2019
1031,04413584/2019
1032,04450447/2019
1033,04468087/2019
1034,04589135/2019
1035,04597731/2019
1036,04611904/2019
1037,04624194/2019
1038,04653992/2019
1039,04668396/2019
1040,04839662/2019
1041,04856591/2019
1042,04871566/2019
1043,04875758/2019
1044,04929998/2019
1045,04988129/2019
1046,05032380/2019
1047,05173986/2019
1048,05217088/2019
1049,05278745/2019
1050,05472150/2019
1051,05502270/2019
1052,05539980/2019
1053,05580514/2019
1054,05644920/2019
1055,05660135/2019
1056,05708979/2019
1057,05909265/2019
1058,05926100/2019
1059,05975454/2019
1060,06027886/2019
1061,06062991/2019
1062,06107170/2019
1063,06154772/2019
1064,06165014/2019
1065,06173351/2019
1066,06184779/2019
1067,06189410/2019
1068,06229187/2019
1069,06354887/2019
1070,06389095/2019
1071,06444266/2019
1072,06450673/2019
1073,06556110/2019
1074,06580429/2019
1075,06637811/2019
1076,06696486/2019
1077,06785454/2019
1078,06826851/2019
1079,06869992/2019
1080,06872969/2019
1081,07110027/2019
1082,07124389/2019
1083,07227668/2019
1084,07308455/2019
1085,07316679/2019
1086,07340952/2019
1087,07395226/2019
1088,07396613/2019
1089,07546151/2019
1090,07562793/2019
1091,07583596/2019
1092,07602426/2019
1093,07631086/2019
1094,07679615/2019
1095,07828831/2019
1096,07828904/2019
1097,07882402/2019
1098,07958018/2019
1099,07990922/2019
1100,08008960/2019
1101,08059815/2019
1102,08106953/2019
1103,08307240/2019
1104,08345230/2019
1105,08407554/2019
1106,08412957/2019
1107,08594230/2019
1108,08645846/2019
1109,08709917/2019
1110,08819224/2019
1111,09032279/2019
1112,09052334/2019
1113,09057948/2019
1114,09101076/2019
1115,09151081/2019
1116,09212250/2019
1117,09229161/2019
1118,09229420/2019
1119,09233070/2019
