CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix
Case 1621,closed,15 days 00:00:22,2010-02-16 08:30:55,15.0003,-0.0,31.6388,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 390,assignseriousness,0 days 00:00:00,2010-01-18 09:30:02,0.0,44.0073,0.0,1,assignseriousness
Case 390,takeinchargeticket,0 days 00:00:22,2010-01-18 09:30:24,0.0003,44.007,44.0056,2,"assignseriousness,takeinchargeticket"
Case 390,resolveticket,0 days 00:01:57,2010-01-18 09:32:21,0.0014,44.0056,44.007,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 390,closed,44 days 00:08:04,2010-03-03 09:40:25,44.0056,0.0,44.0073,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1941,assignseriousness,0 days 00:00:00,2010-01-19 09:11:08,0.0,31.0064,0.0,1,assignseriousness
Case 1941,takeinchargeticket,2 days 00:03:04,2010-01-21 09:14:12,2.0021,29.0043,28.9669,2,"assignseriousness,takeinchargeticket"
Case 1941,resolveticket,0 days 00:53:53,2010-01-21 10:08:05,0.0374,28.9669,29.0043,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1941,closed,28 days 23:12:20,2010-02-19 09:20:25,28.9669,0.0,31.0064,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 404,assignseriousness,0 days 00:00:00,2010-01-19 17:01:04,0.0,37.8959,-0.0,1,assignseriousness
Case 404,takeinchargeticket,22 days 21:29:40,2010-02-11 14:30:44,22.8956,15.0003,15.0002,2,"assignseriousness,takeinchargeticket"
Case 404,resolveticket,0 days 00:00:12,2010-02-11 14:30:56,0.0001,15.0002,15.0003,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 404,closed,15 days 00:00:19,2010-02-26 14:31:15,15.0002,-0.0,37.8959,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 791,assignseriousness,0 days 00:00:00,2010-01-21 08:49:07,0.0,59.0802,0.0,1,assignseriousness
Case 791,takeinchargeticket,29 days 01:54:34,2010-02-19 10:43:41,29.0796,30.0006,30.0005,2,"assignseriousness,takeinchargeticket"
Case 791,resolveticket,0 days 00:00:06,2010-02-19 10:43:47,0.0001,30.0005,30.0006,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 791,closed,30 days 00:00:44,2010-03-21 10:44:31,30.0005,0.0,59.0802,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1485,assignseriousness,0 days 00:00:00,2010-01-21 08:52:31,0.0,42.0507,0.0,1,assignseriousness
Case 1485,takeinchargeticket,27 days 01:12:40,2010-02-17 10:05:11,27.0505,15.0002,15.0001,2,"assignseriousness,takeinchargeticket"
Case 1485,resolveticket,0 days 00:00:06,2010-02-17 10:05:17,0.0001,15.0001,15.0002,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1485,closed,15 days 00:00:11,2010-03-04 10:05:28,15.0001,0.0,42.0507,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1000,assignseriousness,0 days 00:00:06,2010-01-21 08:53:28,0.0001,44.0051,-0.0,1,assignseriousness
Case 1000,takeinchargeticket,0 days 00:00:06,2010-01-21 08:53:40,0.0001,44.005,38.7875,2,"assignseriousness,takeinchargeticket"
Case 1000,resolveticket,5 days 05:13:13,2010-01-26 14:06:53,5.2175,38.7875,44.005,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1000,closed,38 days 18:54:04,2010-03-06 09:00:57,38.7875,-0.0,44.0051,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2915,assignseriousness,0 days 00:00:10,2010-01-21 08:57:25,0.0001,40.306,-0.0,1,assignseriousness
Case 2915,takeinchargeticket,25 days 07:20:11,2010-02-15 16:17:46,25.3057,15.0003,15.0002,2,"assignseriousness,takeinchargeticket"
Case 2915,resolveticket,0 days 00:00:11,2010-02-15 16:17:57,0.0001,15.0002,15.0003,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2915,closed,15 days 00:00:15,2010-03-02 16:18:12,15.0002,-0.0,40.306,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1768,assignseriousness,0 days 00:00:00,2010-01-22 08:17:33,0.0,51.0976,0.0,1,assignseriousness
Case 1768,takeinchargeticket,0 days 00:28:42,2010-01-22 08:46:15,0.0199,51.0777,47.8849,2,"assignseriousness,takeinchargeticket"
Case 1768,resolveticket,3 days 04:37:37,2010-01-25 13:23:52,3.1928,47.8849,51.0777,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1768,closed,47 days 21:14:19,2010-03-14 10:38:11,47.8849,0.0,51.0976,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1006,assignseriousness,0 days 00:00:00,2010-01-22 11:09:40,0.0,48.0006,-0.0,1,assignseriousness
Case 1006,takeinchargeticket,0 days 00:00:11,2010-01-22 11:09:51,0.0001,48.0005,48.0004,2,"assignseriousness,takeinchargeticket"
Case 1006,resolveticket,0 days 00:00:08,2010-01-22 11:09:59,0.0001,48.0004,48.0005,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1006,closed,48 days 00:00:34,2010-03-11 11:10:33,48.0004,-0.0,48.0006,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2742,assignseriousness,0 days 00:00:00,2010-01-22 14:49:01,0.0,45.9619,0.0,1,assignseriousness
Case 2742,takeinchargeticket,30 days 23:04:41,2010-01-22 14:49:10,30.9616,15.0003,15.0002,2,"assignseriousness,takeinchargeticket"
Case 2742,resolveticket,0 days 00:00:07,2010-02-22 13:53:49,0.0001,15.0002,15.0003,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2742,closed,15 days 00:00:18,2010-03-09 13:54:07,15.0002,0.0,45.9619,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1223,assignseriousness,0 days 00:00:00,2010-01-26 11:36:21,0.0,44.0031,0.0,1,assignseriousness
Case 1223,takeinchargeticket,0 days 00:00:09,2010-01-26 11:36:30,0.0001,44.003,30.9907,2,"assignseriousness,takeinchargeticket"
Case 1223,resolveticket,0 days 04:29:59,2010-01-26 16:06:29,0.1875,43.8155,42.8832,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1223,takeinchargeticket,0 days 22:22:29,2010-01-27 14:28:58,0.9323,42.8832,43.8155,4,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket"
Case 1223,resolveticket,11 days 21:25:15,2010-02-08 11:54:13,11.8925,30.9907,44.003,5,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket,resolveticket"
Case 1223,closed,30 days 23:46:35,2010-03-11 11:40:48,30.9907,0.0,44.0031,6,"assignseriousness,takeinchargeticket,resolveticket,takeinchargeticket,resolveticket,closed"
Case 1703,assignseriousness,0 days 00:00:00,2010-01-26 14:14:39,0.0,44.0835,0.0,1,assignseriousness
Case 1703,takeinchargeticket,14 days 01:59:41,2010-02-09 16:14:20,14.0831,30.0004,30.0003,2,"assignseriousness,takeinchargeticket"
Case 1703,resolveticket,0 days 00:00:05,2010-02-09 16:14:25,0.0001,30.0003,30.0004,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1703,closed,30 days 00:00:29,2010-03-11 16:14:54,30.0003,0.0,44.0835,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 4505,assignseriousness,0 days 00:00:00,2010-01-29 10:14:43,0.0,33.0043,0.0,1,assignseriousness
Case 4505,takeinchargeticket,0 days 00:00:13,2010-01-29 10:14:56,0.0002,33.0041,33.004,2,"assignseriousness,takeinchargeticket"
Case 4505,resolveticket,0 days 00:00:06,2010-01-29 10:15:02,0.0001,33.004,33.0041,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 4505,closed,33 days 00:05:45,2010-03-03 10:20:47,33.004,0.0,33.0043,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2441,assignseriousness,13 days 06:07:46,2010-02-02 09:49:41,13.2554,17.7453,0.0,1,assignseriousness
Case 2441,takeinchargeticket,0 days 00:00:06,2010-02-15 15:57:33,0.0001,17.7452,17.7451,2,"assignseriousness,takeinchargeticket"
Case 2441,resolveticket,0 days 00:00:05,2010-02-15 15:57:38,0.0001,17.7451,17.7452,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2441,closed,17 days 17:52:53,2010-03-05 09:50:31,17.7451,0.0,17.7453,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 588,assignseriousness,0 days 00:00:00,2010-02-02 09:52:38,0.0,31.9385,0.0,1,assignseriousness
Case 588,takeinchargeticket,15 days 06:32:21,2010-02-17 16:24:59,15.2725,16.666,15.0002,2,"assignseriousness,takeinchargeticket"
Case 588,resolveticket,1 days 15:58:46,2010-02-19 08:23:45,1.6658,15.0002,16.666,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 588,closed,15 days 00:00:20,2010-03-06 08:24:05,15.0002,0.0,31.9385,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1400,assignseriousness,0 days 00:00:00,2010-02-02 09:57:11,0.0,44.0025,-0.0,1,assignseriousness
Case 1400,takeinchargeticket,0 days 00:00:12,2010-02-02 09:57:23,0.0001,44.0024,44.0023,2,"assignseriousness,takeinchargeticket"
Case 1400,resolveticket,0 days 00:00:06,2010-02-02 09:57:29,0.0001,44.0023,44.0024,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1400,closed,44 days 00:03:19,2010-03-18 10:00:48,44.0023,-0.0,44.0025,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1196,assignseriousness,0 days 00:00:00,2010-02-02 10:17:37,0.0,46.002,0.0,1,assignseriousness
Case 1196,takeinchargeticket,13 days 06:04:00,2010-02-15 16:21:37,13.2528,32.7492,32.7486,2,"assignseriousness,takeinchargeticket"
Case 1196,resolveticket,0 days 00:00:53,2010-02-15 16:22:30,0.0006,32.7486,32.7492,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1196,closed,32 days 17:57:58,2010-03-20 10:20:28,32.7486,0.0,46.002,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1468,assignseriousness,31 days 02:10:18,2010-02-02 10:18:33,31.0905,15.0531,0.0,1,assignseriousness
Case 1468,takeinchargeticket,0 days 00:00:07,2010-03-05 12:28:58,0.0001,15.053,15.0002,2,"assignseriousness,takeinchargeticket"
Case 1468,resolveticket,0 days 01:16:03,2010-03-05 13:45:01,0.0528,15.0002,15.053,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1468,closed,15 days 00:00:15,2010-03-20 13:45:16,15.0002,0.0,15.0531,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 189,assignseriousness,0 days 00:15:02,2010-02-02 13:49:13,0.0104,43.9904,0.0,1,assignseriousness
Case 189,takeinchargeticket,1 days 00:22:52,2010-02-03 14:27:07,1.0159,42.9745,42.9744,2,"assignseriousness,takeinchargeticket"
Case 189,resolveticket,0 days 00:00:09,2010-02-03 14:27:16,0.0001,42.9744,42.9745,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 189,closed,42 days 23:23:10,2010-03-18 13:50:26,42.9744,0.0,43.9904,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 4378,assignseriousness,0 days 00:00:15,2010-02-04 08:20:45,0.0002,58.0933,-0.0,1,assignseriousness
Case 4378,takeinchargeticket,12 days 01:59:28,2010-02-16 10:20:28,12.083,46.0103,44.9586,2,"assignseriousness,takeinchargeticket"
Case 4378,wait,0 days 00:00:09,2010-02-16 10:20:37,0.0001,46.0102,45.0763,3,"assignseriousness,takeinchargeticket,wait"
Case 4378,takeinchargeticket,0 days 22:24:51,2010-02-17 08:45:28,0.9339,45.0763,46.0102,4,"assignseriousness,takeinchargeticket,wait,takeinchargeticket"
Case 4378,resolveticket,0 days 02:49:30,2010-02-17 11:34:58,0.1177,44.9586,46.0103,5,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket"
Case 4378,closed,44 days 23:00:22,2010-04-03 10:35:20,44.9586,-0.0,58.0933,6,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket,closed"
Case 3806,assignseriousness,0 days 00:00:00,2010-02-04 08:22:39,0.0,37.0477,-0.0,1,assignseriousness
Case 3806,takeinchargeticket,0 days 00:00:15,2010-02-04 08:22:54,0.0002,37.0475,15.0001,2,"assignseriousness,takeinchargeticket"
Case 3806,wait,0 days 00:44:32,2010-02-04 09:07:26,0.0309,37.0166,15.0259,3,"assignseriousness,takeinchargeticket,wait"
Case 3806,takeinchargeticket,21 days 23:46:33,2010-02-26 08:53:59,21.9907,15.0259,37.0166,4,"assignseriousness,takeinchargeticket,wait,takeinchargeticket"
Case 3806,resolveticket,0 days 00:37:09,2010-02-26 08:54:05,0.0258,15.0001,37.0475,5,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket"
Case 3806,closed,15 days 00:00:11,2010-03-13 09:31:19,15.0001,-0.0,37.0477,6,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket,closed"
Case 1030,assignseriousness,0 days 00:00:13,2010-02-04 09:40:52,0.0002,33.1838,-0.0,1,assignseriousness
Case 1030,takeinchargeticket,0 days 00:00:18,2010-02-04 09:41:23,0.0002,33.1836,15.0002,2,"assignseriousness,takeinchargeticket"
Case 1030,createswanomaly,0 days 00:00:10,2010-02-04 09:41:33,0.0001,33.1835,33.1835,3,"assignseriousness,takeinchargeticket,createswanomaly"
Case 1030,resolveticket,18 days 04:23:58,2010-02-22 14:05:31,18.1833,15.0002,33.1836,4,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket"
Case 1030,closed,15 days 00:00:13,2010-03-09 14:05:44,15.0002,-0.0,33.1838,5,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,closed"
Case 1798,assignseriousness,0 days 00:00:00,2010-02-04 10:36:44,0.0,55.1482,0.0,1,assignseriousness
Case 1798,takeinchargeticket,0 days 00:13:05,2010-02-04 10:49:49,0.0091,55.1391,14.9585,2,"assignseriousness,takeinchargeticket"
Case 1798,createswanomaly,0 days 00:00:08,2010-02-04 10:49:57,0.0001,55.139,55.139,3,"assignseriousness,takeinchargeticket,createswanomaly"
Case 1798,resolveticket,40 days 04:19:53,2010-03-16 15:09:50,40.1805,14.9585,55.1391,4,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket"
Case 1798,closed,14 days 23:00:12,2010-03-31 14:10:02,14.9585,0.0,55.1482,5,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,closed"
Case 2088,assignseriousness,0 days 00:00:00,2010-02-04 10:37:45,0.0,55.1467,-0.0,1,assignseriousness
Case 2088,takeinchargeticket,0 days 00:23:43,2010-02-04 11:01:28,0.0165,55.1302,14.9585,2,"assignseriousness,takeinchargeticket"
Case 2088,createswanomaly,0 days 00:00:07,2010-02-04 11:01:35,0.0001,55.1301,55.1301,3,"assignseriousness,takeinchargeticket,createswanomaly"
Case 2088,resolveticket,40 days 04:07:05,2010-03-16 15:08:40,40.1716,14.9585,55.1302,4,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket"
Case 2088,closed,14 days 23:00:13,2010-03-31 14:08:53,14.9585,-0.0,55.1467,5,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,closed"
Case 765,assignseriousness,0 days 00:00:00,2010-02-05 11:15:48,0.0,34.2458,0.0,1,assignseriousness
Case 765,takeinchargeticket,6 days 23:58:30,2010-02-12 11:14:18,6.999,27.2468,15.0004,2,"assignseriousness,takeinchargeticket"
Case 765,resolveticket,12 days 05:54:50,2010-02-24 17:09:08,12.2464,15.0004,27.2468,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 765,closed,15 days 00:00:34,2010-03-11 17:09:42,15.0004,0.0,34.2458,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 2131,assignseriousness,0 days 00:00:00,2010-02-08 11:02:38,0.0,46.007,0.0,1,assignseriousness
Case 2131,takeinchargeticket,11 days 06:01:06,2010-02-19 17:03:44,11.2508,34.7562,34.7561,2,"assignseriousness,takeinchargeticket"
Case 2131,resolveticket,0 days 00:00:09,2010-02-19 17:03:53,0.0001,34.7561,34.7562,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 2131,closed,34 days 18:08:50,2010-03-26 11:12:43,34.7561,0.0,46.007,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 1191,assignseriousness,0 days 00:00:00,2010-02-08 15:06:58,0.0,47.7105,-0.0,1,assignseriousness
Case 1191,takeinchargeticket,0 days 00:05:02,2010-02-08 15:12:00,0.0035,47.707,29.9587,2,"assignseriousness,takeinchargeticket"
Case 1191,wait,0 days 00:00:28,2010-02-08 15:12:28,0.0003,47.7067,30.6344,3,"assignseriousness,takeinchargeticket,wait"
Case 1191,takeinchargeticket,17 days 01:44:06,2010-02-25 16:56:34,17.0723,30.6344,47.7067,4,"assignseriousness,takeinchargeticket,wait,takeinchargeticket"
Case 1191,resolveticket,0 days 16:12:58,2010-02-26 09:09:32,0.6757,29.9587,47.707,5,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket"
Case 1191,closed,29 days 23:00:31,2010-03-28 08:10:03,29.9587,-0.0,47.7105,6,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket,closed"
Case 81,assignseriousness,0 days 00:00:00,2010-02-09 08:31:47,0.0,58.9646,-0.0,1,assignseriousness
Case 81,takeinchargeticket,0 days 00:03:25,2010-02-09 08:35:12,0.0024,58.9622,48.9644,2,"assignseriousness,takeinchargeticket"
Case 81,wait,0 days 00:01:15,2010-02-09 08:35:26,0.0009,58.9613,48.9646,3,"assignseriousness,takeinchargeticket,wait"
Case 81,takeinchargeticket,9 days 23:55:13,2010-02-19 08:31:40,9.9967,48.9646,58.9613,4,"assignseriousness,takeinchargeticket,wait,takeinchargeticket"
Case 81,resolveticket,0 days 00:00:20,2010-02-19 08:32:00,0.0002,48.9644,58.9622,5,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket"
Case 81,closed,48 days 23:08:43,2010-04-09 07:40:43,48.9644,-0.0,58.9646,6,"assignseriousness,takeinchargeticket,wait,takeinchargeticket,resolveticket,closed"
Case 3918,assignseriousness,0 days 00:00:00,2010-02-09 08:47:01,0.0,43.2713,-0.0,1,assignseriousness
Case 3918,takeinchargeticket,28 days 06:30:23,2010-03-09 15:17:24,28.2711,15.0002,15.0002,2,"assignseriousness,takeinchargeticket"
Case 3918,resolveticket,0 days 00:00:04,2010-03-09 15:17:28,0.0,15.0002,15.0002,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 3918,closed,15 days 00:00:18,2010-03-24 15:17:46,15.0002,-0.0,43.2713,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 899,assignseriousness,0 days 00:00:00,2010-02-09 14:31:28,0.0,56.0352,0.0,1,assignseriousness
Case 899,takeinchargeticket,0 days 00:00:18,2010-02-09 14:31:46,0.0002,56.035,14.9584,2,"assignseriousness,takeinchargeticket"
Case 899,createswanomaly,0 days 00:00:16,2010-02-09 14:32:02,0.0002,56.0348,14.9606,3,"assignseriousness,takeinchargeticket,createswanomaly"
Case 899,resolveticket,41 days 01:46:29,2010-03-22 16:18:31,41.0739,14.9609,14.9607,4,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket"
Case 899,takeinchargeticket,0 days 00:00:19,2010-03-22 16:18:50,0.0002,14.9607,14.9609,5,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,takeinchargeticket"
Case 899,createswanomaly,0 days 00:00:06,2010-03-22 16:18:56,0.0001,14.9606,56.0348,6,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,takeinchargeticket,createswanomaly"
Case 899,resolveticket,0 days 00:03:13,2010-03-22 16:22:09,0.0022,14.9584,56.035,7,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,takeinchargeticket,createswanomaly,resolveticket"
Case 899,closed,14 days 23:00:08,2010-04-06 15:22:17,14.9584,0.0,56.0352,8,"assignseriousness,takeinchargeticket,createswanomaly,resolveticket,takeinchargeticket,createswanomaly,resolveticket,closed"
Case 1130,assignseriousness,0 days 00:00:00,2010-02-09 16:07:04,0.0,47.9614,-0.0,1,assignseriousness
Case 1130,takeinchargeticket,0 days 00:00:07,2010-02-09 16:07:11,0.0001,47.9613,47.9612,2,"assignseriousness,takeinchargeticket"
Case 1130,resolveticket,0 days 00:00:07,2010-02-09 16:07:18,0.0001,47.9612,47.9613,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 1130,closed,47 days 23:04:05,2010-03-29 15:11:23,47.9612,-0.0,47.9614,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 3849,assignseriousness,0 days 00:00:00,2010-02-09 16:10:28,0.0,52.6533,-0.0,1,assignseriousness
Case 3849,takeinchargeticket,37 days 16:31:05,2010-03-19 08:41:33,37.6883,14.965,14.9584,2,"assignseriousness,takeinchargeticket"
Case 3849,resolveticket,0 days 00:09:31,2010-03-19 08:41:38,0.0066,14.9584,14.965,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 3849,closed,14 days 23:00:07,2010-04-03 07:51:11,14.9584,-0.0,52.6533,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 360,assignseriousness,0 days 00:00:00,2010-02-09 16:17:06,0.0,49.6589,0.0,1,assignseriousness
Case 360,takeinchargeticket,14 days 00:23:28,2010-02-23 16:40:34,14.0163,35.6426,14.9585,2,"assignseriousness,takeinchargeticket"
Case 360,resolveticket,20 days 16:25:04,2010-03-16 09:05:38,20.6841,14.9585,35.6426,3,"assignseriousness,takeinchargeticket,resolveticket"
Case 360,closed,14 days 23:00:14,2010-03-31 08:05:52,14.9585,0.0,49.6589,4,"assignseriousness,takeinchargeticket,resolveticket,closed"
Case 3238,assignseriousness,0 days 00:00:00,2010-02-10 08:42:57,0.0,48.9641,0.0,1,assignseriousness
Case 3238,takeinchargeticket,6 days 03:07:56,2010-02-16 11:50:53,6.1305,42.8336,14.9585,2,"assignseriousness,takeinchargeticket"
Case 3238,wait,0 days 00:00:04,2010-02-16 11:50:57,0.0,42.8336,14.9586,3,"assignseriousness,takeinchargeticket,wait"
Case 3238,takeinchargeticket,27 days 21:00:03,2010-03-16 08:51:00,27.875,14.9586,42.8336,4,"assignseriousness,takeinchargeticket,wait,takeinchargeticket"
