,identificacao,activity,number_steps_x,Unnamed: 0,CompleteTimestamp,timestamp,number_steps_y,is_first_step,timestamp_shift,duracao,tempo_restante_conclusao,tempo_passado,day,month,year,day_of_week,is_weekend,quarter,is_quarter_end,hour,minute,second,steps,activity_cat
54,1528,8,11,4515,2010-07-05 14:57:31,2010-07-05 14:57:31,11,0,2010-07-05 14:57:40,0.0001041666666666,3.6401388888888886,0.0001157407407408,5,7,2010,0,0,3,0,14,57,31,11,7
55,1528,8,11,4518,2010-07-05 14:58:47,2010-07-05 14:58:47,11,0,2010-07-05 14:58:52,5.787037037037037e-05,3.618611111111111,0.0094560185185184,5,7,2010,0,0,3,0,14,58,47,11,7
56,4518,9,4,13511,2011-10-18 17:06:10,2011-10-18 17:06:10,4,0,2011-10-27 16:41:26,8.982824074074074,11.136956018518518,2.154131944444444,18,10,2011,1,0,4,0,17,6,10,4,8
57,4046,1,3,12062,2012-03-12 20:01:53,2012-03-12 20:01:53,3,1,2012-03-12 20:02:03,0.0001157407407407,1.0072685185185186,0.0,12,3,2012,0,0,1,0,20,1,53,3,0
58,2690,1,3,8000,2012-04-11 00:03:47,2012-04-11 00:03:47,3,1,2012-04-11 15:03:55,0.6250925925925926,21.657233796296296,0.0,11,4,2012,2,0,2,0,0,3,47,3,0
59,1724,8,6,5114,2011-03-18 23:47:03,2011-03-18 23:47:03,6,0,2011-03-18 23:47:11,9.25925925925926e-05,29.83652777777778,9.259259259408736e-05,18,3,2011,4,0,1,0,23,47,3,6,7
60,1724,8,6,5116,2011-03-23 20:12:52,2011-03-23 20:12:52,6,0,2011-03-23 20:13:06,0.000162037037037,22.980520833333333,4.851168981481482,23,3,2011,2,0,1,0,20,12,52,6,7
61,2857,8,3,8527,2010-03-16 17:04:15,2010-03-16 17:04:15,3,0,2010-04-01 16:48:34,15.989108796296296,15.989108796296296,0.0,16,3,2010,1,0,1,0,17,4,15,3,7
62,288,8,3,807,2011-11-17 18:36:01,2011-11-17 18:36:01,3,0,2011-11-17 23:00:05,0.1833796296296296,0.1833796296296296,0.0,17,11,2011,3,0,4,0,18,36,1,3,7
63,4230,6,4,12624,2012-07-12 16:49:20,2012-07-12 16:49:20,4,0,0 days 00:00:00,0.0,12.91320601851852,12.276157407407409,12,7,2012,3,0,3,0,16,49,20,4,5
64,3415,1,5,10167,2010-06-21 18:38:16,2010-06-21 18:38:16,5,1,2010-06-21 19:04:02,0.0178935185185185,0.1077314814814814,0.0,21,6,2010,0,0,2,0,18,38,16,5,0
65,589,1,3,1655,2012-07-20 18:02:52,2012-07-20 18:02:52,3,1,2012-07-23 15:24:50,2.890254629629629,4.223414351851852,0.0,20,7,2012,4,0,3,0,18,2,52,3,0
66,3804,9,6,11293,2012-05-14 21:31:03,2012-05-14 21:31:03,6,0,2012-05-15 15:52:59,0.7652314814814815,12.949189814814815,0.0094328703703698,14,5,2012,0,0,2,0,21,31,3,6,8
67,3804,9,6,11295,2012-05-15 16:06:34,2012-05-15 16:06:34,6,0,2012-05-15 20:39:11,0.1893171296296296,12.193194444444444,0.7652314814814822,15,5,2012,1,0,2,0,16,6,34,6,8
68,4466,1,3,13353,2012-05-11 15:50:25,2012-05-11 15:50:25,3,1,2012-05-11 20:14:20,0.1832754629629629,10.970636574074073,0.0,11,5,2012,4,0,2,0,15,50,25,3,0
69,1680,1,4,4972,2012-02-22 22:01:58,2012-02-22 22:01:58,4,1,2012-02-23 20:36:48,0.9408564814814816,34.7678125,0.0,22,2,2012,2,0,1,0,22,1,58,4,0
70,2309,6,4,6873,2010-07-20 23:49:34,2010-07-20 23:49:34,4,0,0 days 00:00:00,0.0,1.924548611111112,1.8604398148148151,20,7,2010,1,0,3,0,23,49,34,4,5
71,1391,6,6,4101,2011-02-11 01:02:15,2011-02-11 01:02:15,6,0,0 days 00:00:00,0.0,13.892129629629633,7.065000000000001,11,2,2011,4,0,1,0,1,2,15,6,5
72,3616,8,4,10752,2010-11-30 01:47:11,2010-11-30 01:47:11,4,0,2010-11-30 23:17:17,0.8959027777777778,5.880625,0.0,30,11,2010,1,0,4,0,1,47,11,4,7
73,1348,1,3,3975,2011-02-10 17:16:03,2011-02-10 17:16:03,3,1,2011-02-10 17:16:33,0.0003472222222222,0.3189467592592592,0.0,10,2,2011,3,0,1,0,17,16,3,3,0
74,81,6,6,204,2010-02-19 17:32:00,2010-02-19 17:32:00,6,0,0 days 00:00:00,0.0,0.0034722222222232,0.0023726851851844,19,2,2010,4,0,1,0,17,32,0,6,5
75,483,6,3,1349,2012-08-09 21:29:31,2012-08-09 21:29:31,3,0,0 days 00:00:00,0.0,0.0239120370370371,0.0239120370370371,9,8,2012,3,0,3,0,21,29,31,3,5
76,4567,9,6,13665,2012-01-30 18:22:53,2012-01-30 18:22:53,6,0,2012-01-30 22:58:02,0.1910763888888889,24.71274305555556,0.0129976851851836,30,1,2012,0,0,1,0,18,22,53,6,8
77,4567,9,6,13667,2012-01-30 23:16:45,2012-01-30 23:16:45,6,0,2012-02-13 18:00:09,13.780138888888889,18.91922453703704,4.935011574074075,30,1,2012,0,0,1,0,23,16,45,6,8
78,2806,8,4,8366,2010-10-26 23:45:16,2010-10-26 23:45:16,4,0,2010-10-26 23:45:35,0.0002199074074074,0.0031828703703703,9.259259259259248e-05,26,10,2010,1,0,4,0,23,45,16,4,7
79,2554,6,3,7622,2012-02-06 23:53:02,2012-02-06 23:53:02,3,0,0 days 00:00:00,0.0,0.000127314814815,0.000127314814815,6,2,2012,0,0,1,0,23,53,2,3,5
80,1068,8,3,3125,2012-05-18 20:33:18,2012-05-18 20:33:18,3,0,2012-05-21 21:18:53,3.0316550925925925,3.155335648148148,0.0,18,5,2012,4,0,2,0,20,33,18,3,7
81,3309,8,4,9867,2012-05-03 16:00:36,2012-05-03 16:00:36,4,0,2012-05-18 15:09:44,14.964675925925926,17.79372685185185,0.0,3,5,2012,3,0,2,0,16,0,36,4,7
82,2967,1,4,8860,2011-11-03 02:01:36,2011-11-03 02:01:36,4,1,2011-11-03 02:06:35,0.0034606481481481,0.6814699074074073,0.0,3,11,2011,3,0,4,0,2,1,36,4,0
83,1500,6,3,4429,2012-09-10 23:35:07,2012-09-10 23:35:07,3,0,2012-09-10 23:35:07,0.0,32.01311342592592,0.0,10,9,2012,0,0,3,0,23,35,7,3,5
84,1500,6,3,4430,2012-09-10 23:35:07,2012-09-10 23:35:07,3,0,0 days 00:00:00,0.0,0.0,0.0,10,9,2012,0,0,3,0,23,35,7,3,5
85,3063,6,3,9111,2011-03-03 19:27:51,2011-03-03 19:27:51,3,0,0 days 00:00:00,0.0,0.059861111111111,0.0598611111111111,3,3,2011,3,0,1,0,19,27,51,3,5
86,1586,8,3,4695,2011-10-31 20:26:25,2011-10-31 20:26:25,3,0,2011-11-09 01:51:00,8.225405092592593,8.225405092592593,0.0,31,10,2011,0,0,4,0,20,26,25,3,7
87,1456,6,5,4296,2011-04-20 23:58:03,2011-04-20 23:58:03,5,0,0 days 00:00:00,0.0,3.078449074074072,3.0770949074074068,20,4,2011,2,0,2,0,23,58,3,5,5
88,3839,5,3,11420,2011-10-27 16:06:22,2011-10-27 16:06:22,3,0,2011-11-30 01:45:06,33.40189814814815,33.40189814814815,0.0,27,10,2011,3,0,4,0,16,6,22,3,4
89,2223,1,3,6615,2010-11-15 22:29:45,2010-11-15 22:29:45,3,1,2010-11-25 18:35:13,9.83712962962963,9.86287037037037,0.0,15,11,2010,0,0,4,0,22,29,45,3,0
90,2198,6,3,6547,2011-09-30 15:06:25,2011-09-30 15:06:25,3,0,0 days 00:00:00,0.0,0.6604050925925926,0.6604050925925926,30,9,2011,4,0,3,1,15,6,25,3,5
91,4222,8,4,12590,2012-04-23 16:24:36,2012-04-23 16:24:36,4,0,2012-04-26 18:14:57,3.0766319444444443,12.929016203703704,0.0,23,4,2012,0,0,2,0,16,24,36,4,7
92,3392,1,3,10099,2011-05-25 17:16:25,2011-05-25 17:16:25,3,1,2011-05-25 17:16:44,0.0002199074074074,0.0618518518518518,0.0,25,5,2011,2,0,2,0,17,16,25,3,0
93,4374,1,3,13056,2010-07-21 21:18:13,2010-07-21 21:18:13,3,1,2010-07-22 15:59:01,0.7783333333333333,0.7793865740740741,0.0,21,7,2010,2,0,3,0,21,18,13,3,0
94,4382,1,3,13096,2011-02-16 19:19:31,2011-02-16 19:19:31,3,1,2011-02-21 16:59:20,4.902650462962963,13.249918981481482,0.0,16,2,2011,2,0,1,0,19,19,31,3,0
95,1481,1,3,4361,2011-10-03 21:15:39,2011-10-03 21:15:39,3,1,2011-10-06 15:57:15,2.778888888888889,2.779872685185185,0.0,3,10,2011,0,0,4,0,21,15,39,3,0
96,3522,6,3,10496,2010-05-26 16:39:51,2010-05-26 16:39:51,3,0,0 days 00:00:00,0.0,0.000162037037037,0.000162037037037,26,5,2010,2,0,2,0,16,39,51,3,5
97,457,8,3,1268,2011-12-07 20:41:28,2011-12-07 20:41:28,3,0,2011-12-08 02:02:54,0.2232175925925926,0.2232175925925926,0.0,7,12,2011,2,0,4,0,20,41,28,3,7
98,994,1,3,2895,2011-02-08 01:49:00,2011-02-08 01:49:00,3,1,2011-02-09 01:04:33,0.9691319444444444,10.908460648148148,0.0,8,2,2011,1,0,1,0,1,49,0,3,0
99,3917,1,4,11650,2010-08-30 19:02:28,2010-08-30 19:02:28,4,1,2010-08-30 23:36:09,0.1900578703703703,2.1690625,0.0,30,8,2010,0,0,3,0,19,2,28,4,0
100,3917,1,4,11651,2010-08-30 23:36:09,2010-08-30 23:36:09,4,0,2010-09-01 23:03:24,1.9772569444444448,2.167314814814815,0.0,30,8,2010,0,0,3,0,23,36,9,4,0
101,3256,9,6,9693,2010-06-08 17:33:35,2010-06-08 17:33:35,6,0,2010-06-21 16:48:12,12.968483796296296,15.687581018518518,0.0010416666666657,8,6,2010,1,0,2,0,17,33,35,6,8
102,3909,1,4,11631,2012-04-10 22:47:09,2012-04-10 22:47:09,4,1,2012-04-10 23:18:39,0.021875,13.908715277777777,0.0,10,4,2012,1,0,2,0,22,47,9,4,0
103,1197,6,5,3524,2011-12-23 00:48:16,2011-12-23 00:48:16,5,0,0 days 00:00:00,0.0,1.084942129629629,1.0172106481481482,23,12,2011,4,0,4,0,0,48,16,5,5
104,2592,6,3,7736,2012-07-27 18:22:35,2012-07-27 18:22:35,3,0,0 days 00:00:00,0.0,0.0001273148148147,0.0001273148148147,27,7,2012,4,0,3,0,18,22,35,3,5
105,479,6,2,1340,2012-05-16 15:06:18,2012-05-16 15:06:18,2,0,0 days 00:00:00,0.0,0.0,0.0,16,5,2012,2,0,2,0,15,6,18,2,5
106,2336,8,4,6955,2010-09-21 23:04:13,2010-09-21 23:04:13,4,0,2010-09-27 17:59:47,5.788587962962963,16.875983796296296,0.0,21,9,2010,1,0,3,0,23,4,13,4,7
107,4267,6,4,12738,2012-01-16 20:37:55,2012-01-16 20:37:55,4,0,2012-01-16 20:37:56,1.1574074074074072e-05,2.9120601851851853,1.157407407426092e-05,16,1,2012,0,0,1,0,20,37,55,4,5
108,4267,6,4,12739,2012-01-16 20:37:56,2012-01-16 20:37:56,4,0,0 days 00:00:00,0.0,0.0803125000000002,0.0803009259259259,16,1,2012,0,0,1,0,20,37,56,4,5
109,3298,6,3,9829,2010-11-19 19:25:29,2010-11-19 19:25:29,3,0,0 days 00:00:00,0.0,0.8390277777777779,0.8390277777777778,19,11,2010,4,0,4,0,19,25,29,3,5
110,3352,6,3,9985,2012-05-10 16:50:41,2012-05-10 16:50:41,3,0,0 days 00:00:00,0.0,7.774201388888889,7.774201388888889,10,5,2012,3,0,2,0,16,50,41,3,5
111,3175,8,4,9452,2011-11-03 20:48:59,2011-11-03 20:48:59,4,0,2011-11-18 02:07:00,14.220844907407407,15.342546296296296,0.0,3,11,2011,3,0,4,0,20,48,59,4,7
112,1466,1,3,4313,2012-07-31 22:44:06,2012-07-31 22:44:06,3,1,2012-08-02 16:22:07,1.7347337962962963,2.7366319444444445,0.0,31,7,2012,1,0,3,0,22,44,6,3,0
113,1719,6,4,5099,2012-02-02 01:19:39,2012-02-02 01:19:39,4,0,2012-02-02 01:19:40,1.1574074074074072e-05,2.3435069444444445,1.157407407426092e-05,2,2,2012,3,0,1,0,1,19,39,4,5
114,1719,6,4,5100,2012-02-02 01:19:40,2012-02-02 01:19:40,4,0,0 days 00:00:00,0.0,0.0002083333333335,0.0001967592592593,2,2,2012,3,0,1,0,1,19,40,4,5
115,472,1,3,1317,2012-07-23 22:02:04,2012-07-23 22:02:04,3,1,2012-07-23 23:04:26,0.0433101851851851,35.07646990740741,0.0,23,7,2012,0,0,3,0,22,2,4,3,0
116,4509,8,3,13485,2011-09-16 17:03:22,2011-09-16 17:03:22,3,0,2011-09-16 17:20:11,0.0116782407407407,0.0607060185185185,0.0,16,9,2011,4,0,3,0,17,3,22,3,7
117,3164,8,3,9421,2011-05-20 15:10:32,2011-05-20 15:10:32,3,0,2011-05-24 15:27:10,4.011550925925926,15.867233796296295,0.0,20,5,2011,4,0,2,0,15,10,32,3,7
118,4545,1,4,13588,2012-03-29 21:55:12,2012-03-29 21:55:12,4,1,2012-03-29 21:55:42,0.0003472222222222,21.977974537037035,0.0,29,3,2012,3,0,1,0,21,55,12,4,0
119,121,1,3,313,2011-02-09 22:28:58,2011-02-09 22:28:58,3,1,2011-02-09 23:21:02,0.0361574074074074,0.0366666666666666,0.0,9,2,2011,2,0,1,0,22,28,58,3,0
120,1540,6,6,4563,2011-07-05 16:23:41,2011-07-05 16:23:41,6,0,0 days 00:00:00,0.0,0.8081944444444451,0.7018402777777775,5,7,2011,1,0,3,0,16,23,41,6,5
121,4278,1,4,12773,2012-01-06 00:50:13,2012-01-06 00:50:13,4,1,2012-01-06 00:50:26,0.0001504629629629,3.6847453703703703,0.0,6,1,2012,4,0,1,0,0,50,13,4,0
122,2798,8,4,8334,2010-12-22 19:40:48,2010-12-22 19:40:48,4,0,2011-01-21 18:44:30,29.96090277777778,29.960995370370373,9.259259259408736e-05,22,12,2010,2,0,4,0,19,40,48,4,7
123,3215,8,3,9575,2012-07-27 16:39:28,2012-07-27 16:39:28,3,0,2012-08-22 16:46:25,26.00482638888889,26.00482638888889,0.0,27,7,2012,4,0,3,0,16,39,28,3,7
124,3486,8,4,10375,2012-06-04 15:57:51,2012-06-04 15:57:51,4,0,2012-06-06 17:37:27,2.069166666666667,22.89880787037037,0.0,4,6,2012,0,0,2,0,15,57,51,4,7
125,840,6,3,2419,2012-05-09 23:39:26,2012-05-09 23:39:26,3,0,0 days 00:00:00,0.0,0.9388078703703702,0.9388078703703702,9,5,2012,2,0,2,0,23,39,26,3,5
126,2449,6,3,7315,2012-01-17 00:02:54,2012-01-17 00:02:54,3,0,0 days 00:00:00,0.0,0.0494212962962961,0.0494212962962961,17,1,2012,1,0,1,0,0,2,54,3,5
127,1403,1,6,4126,2011-01-04 23:39:02,2011-01-04 23:39:02,6,1,2011-01-12 00:17:49,7.02693287037037,24.01733796296296,0.0,4,1,2011,1,0,1,0,23,39,2,6,0
128,1403,1,6,4127,2011-01-12 00:17:49,2011-01-12 00:17:49,6,0,2011-01-12 00:18:14,0.0002893518518518,24.01704861111111,0.0,12,1,2011,2,0,1,0,0,17,49,6,0
129,901,6,3,2607,2012-08-02 23:24:42,2012-08-02 23:24:42,3,0,2012-08-02 23:25:31,0.0005671296296296,2.3352430555555554,0.0,2,8,2012,3,0,3,0,23,24,42,3,5
130,901,6,3,2608,2012-08-02 23:25:31,2012-08-02 23:25:31,3,0,0 days 00:00:00,0.0,0.0005671296296294,0.0005671296296294,2,8,2012,3,0,3,0,23,25,31,3,5
131,2326,8,4,6927,2012-03-28 23:40:35,2012-03-28 23:40:35,4,0,2012-04-03 18:54:57,5.801643518518518,21.67083333333333,0.0,28,3,2012,2,0,1,0,23,40,35,4,7
132,3267,8,3,9725,2011-10-13 18:47:30,2011-10-13 18:47:30,3,0,2011-10-17 20:55:41,4.089016203703704,4.089016203703704,0.0,13,10,2011,3,0,4,0,18,47,30,3,7
133,1050,9,9,3068,2011-05-13 18:46:18,2011-05-13 18:46:18,9,0,2011-05-20 15:05:57,6.846979166666666,27.178819444444446,9.259259259408736e-05,13,5,2011,4,0,2,0,18,46,18,9,8
134,1050,9,9,3072,2011-06-08 16:09:20,2011-06-08 16:09:20,9,0,2011-06-08 20:44:40,0.1912037037037037,26.082650462962963,0.958206018518517,8,6,2011,2,0,2,0,16,9,20,9,8
