case_id,prefix,k,time_passed,recent_time,latest_time,remaining_time_days
Case 1265,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,46,47,46,0
Case 2414,wait,0,0,0,0,34
Case 2414,wait take-in-charge-ticket,1,0,0,0,34
Case 2414,wait take-in-charge-ticket resolve-ticket,2,0,0,0,34
Case 2414,wait take-in-charge-ticket resolve-ticket closed,3,34,34,34,0
Case 3514,closed,0,0,0,0,0
Case 1707,assign-seriousness,0,0,0,0,51
Case 1707,assign-seriousness take-in-charge-ticket,1,0,0,0,51
Case 1707,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,51
Case 1707,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,51,51,51,0
Case 1935,take-in-charge-ticket,0,0,0,0,17
Case 1935,take-in-charge-ticket resolve-ticket,1,0,0,0,17
Case 1935,take-in-charge-ticket resolve-ticket take-in-charge-ticket,2,0,0,0,17
Case 1935,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,3,0,0,0,17
Case 1935,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,4,2,2,2,15
Case 1935,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,2,2,0,15
Case 1935,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,6,17,15,15,0
Case 3758,resolve-ticket,0,0,0,0,50
Case 3758,resolve-ticket closed,1,50,0,50,0
Case 3817,closed,0,0,0,0,0
Case 4543,closed,0,0,0,0,0
Case 256,closed,0,0,0,0,0
Case 865,closed,0,0,0,0,0
Case 3308,resolve-ticket,0,0,0,0,30
Case 3308,resolve-ticket closed,1,30,0,30,0
Case 4548,closed,0,0,0,0,0
Case 562,closed,0,0,0,0,0
Case 3493,closed,0,0,0,0,0
Case 2733,closed,0,0,0,0,0
Case 974,closed,0,0,0,0,0
Case 4,closed,0,0,0,0,0
Case 1403,closed,0,0,0,0,0
Case 67,closed,0,0,0,0,0
Case 2291,closed,0,0,0,0,0
Case 3639,closed,0,0,0,0,0
Case 110,closed,0,0,0,0,0
Case 611,closed,0,0,0,0,0
Case 1636,closed,0,0,0,0,0
Case 2145,take-in-charge-ticket,0,0,0,0,15
Case 2145,take-in-charge-ticket resolve-ticket,1,0,0,0,15
Case 2145,take-in-charge-ticket resolve-ticket closed,2,15,15,15,0
Case 1167,assign-seriousness,0,0,0,0,57
Case 1167,assign-seriousness take-in-charge-ticket,1,0,0,0,57
Case 1167,assign-seriousness take-in-charge-ticket wait,2,1,1,1,55
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,27,28,26,29
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,27,26,0,29
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,56,29,29,0
Case 1740,assign-seriousness,0,0,0,0,43
Case 1740,assign-seriousness assign-seriousness,1,0,0,0,43
Case 1740,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,43
Case 1740,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,0,0,0,43
Case 1740,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,43,43,43,0
Case 2937,resolve-ticket,0,0,0,0,30
Case 2937,resolve-ticket closed,1,30,0,30,0
Case 4224,assign-seriousness,0,0,0,0,47
Case 4224,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 4224,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,47
Case 4224,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,47,47,47,0
Case 3768,assign-seriousness,0,0,0,0,40
Case 3768,assign-seriousness take-in-charge-ticket,1,0,0,0,40
Case 3768,assign-seriousness take-in-charge-ticket wait,2,0,0,0,40
Case 3768,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,8,8,8,31
Case 3768,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,21,21,13,18
Case 3768,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket,5,24,16,3,15
Case 3768,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,24,3,0,15
Case 3768,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,7,39,15,15,0
Case 4454,assign-seriousness,0,0,0,0,47
Case 4454,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 4454,assign-seriousness take-in-charge-ticket wait,2,13,13,13,33
Case 4454,assign-seriousness take-in-charge-ticket wait wait,3,13,14,0,33
Case 4454,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,29,16,16,16
Case 4454,assign-seriousness take-in-charge-ticket wait wait resolve-ticket closed,5,45,33,16,0
Case 2373,assign-seriousness,0,0,0,0,31
Case 2373,assign-seriousness assign-seriousness,1,0,0,0,31
Case 2373,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,31
Case 2373,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,0,0,0,30
Case 2373,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,1,1,1,29
Case 2373,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,1,1,0,29
Case 2373,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,6,30,29,29,0
Case 72,resolve-ticket,0,0,0,0,15
Case 72,resolve-ticket closed,1,15,0,15,0
Case 135,take-in-charge-ticket,0,0,0,0,47
Case 135,take-in-charge-ticket resolve-ticket,1,0,0,0,47
Case 135,take-in-charge-ticket resolve-ticket take-in-charge-ticket,2,16,16,16,30
Case 135,take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,3,16,17,0,30
Case 135,take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,4,46,30,30,0
Case 2537,resolve-ticket,0,0,0,0,47
Case 2537,resolve-ticket closed,1,47,0,47,0
Case 928,assign-seriousness,0,0,0,0,51
Case 928,assign-seriousness take-in-charge-ticket,1,0,0,0,50
Case 928,assign-seriousness take-in-charge-ticket resolve-ticket,2,20,21,20,29
Case 928,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,49,50,29,0
Case 2137,insert-ticket,0,0,0,0,59
Case 2137,insert-ticket assign-seriousness,1,0,0,0,59
Case 2137,insert-ticket assign-seriousness take-in-charge-ticket,2,0,0,0,59
Case 2137,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,0,0,0,59
Case 2137,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket closed,4,59,59,59,0
Case 3901,insert-ticket,0,0,0,0,59
Case 3901,insert-ticket assign-seriousness,1,0,0,0,59
Case 3901,insert-ticket assign-seriousness take-in-charge-ticket,2,0,0,0,59
Case 3901,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,0,0,0,59
Case 3901,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket closed,4,59,59,59,0
Case 122,assign-seriousness,0,0,0,0,43
Case 122,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 122,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 122,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 4302,assign-seriousness,0,0,0,0,52
Case 4302,assign-seriousness take-in-charge-ticket,1,0,0,0,52
Case 4302,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,52
Case 4302,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,52,52,52,0
Case 141,closed,0,0,0,0,0
Case 933,closed,0,0,0,0,0
Case 1533,take-in-charge-ticket,0,0,0,0,48
Case 1533,take-in-charge-ticket resolve-ticket,1,3,0,3,44
Case 1533,take-in-charge-ticket resolve-ticket closed,2,47,48,44,0
Case 2802,assign-seriousness,0,0,0,0,31
Case 2802,assign-seriousness take-in-charge-ticket,1,0,0,0,31
Case 2802,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,30
Case 2802,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,31,30,0
Case 4236,assign-seriousness,0,0,0,0,43
Case 4236,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 4236,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 4236,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 2488,assign-seriousness,0,0,0,0,46
Case 2488,assign-seriousness take-in-charge-ticket,1,0,0,0,46
Case 2488,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,0,0,0,46
Case 2488,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,5,5,5,40
Case 2488,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,4,45,46,40,0
Case 1883,assign-seriousness,0,0,0,0,52
Case 1883,assign-seriousness take-in-charge-ticket,1,0,0,0,52
Case 1883,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,52
Case 1883,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,52,52,52,0
Case 1942,assign-seriousness,0,0,0,0,58
Case 1942,assign-seriousness take-in-charge-ticket,1,0,0,0,58
Case 1942,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 1942,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,0
Case 4295,assign-seriousness,0,0,0,0,47
Case 4295,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 4295,assign-seriousness take-in-charge-ticket resolve-ticket,2,17,17,17,29
Case 4295,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,46,47,29,0
Case 4199,assign-seriousness,0,0,0,0,58
Case 4199,assign-seriousness take-in-charge-ticket,1,0,0,0,58
Case 4199,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 4199,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,0
Case 3006,take-in-charge-ticket,0,0,0,0,15
Case 3006,take-in-charge-ticket resolve-ticket,1,0,0,0,15
Case 3006,take-in-charge-ticket resolve-ticket closed,2,15,15,15,0
Case 1986,assign-seriousness,0,0,0,0,45
Case 1986,assign-seriousness take-in-charge-ticket,1,0,0,0,45
Case 1986,assign-seriousness take-in-charge-ticket resolve-ticket,2,12,12,12,33
Case 1986,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,33,0
Case 2589,take-in-charge-ticket,0,0,0,0,20
Case 2589,take-in-charge-ticket wait,1,5,0,5,15
Case 2589,take-in-charge-ticket wait take-in-charge-ticket,2,5,5,0,15
Case 2589,take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,3,5,0,0,15
Case 2589,take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,4,20,15,15,0
Case 579,assign-seriousness,0,0,0,0,46
Case 579,assign-seriousness take-in-charge-ticket,1,0,0,0,46
Case 579,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,46
Case 579,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,46,46,46,0
Case 1381,closed,0,0,0,0,0
Case 4182,closed,0,0,0,0,0
Case 803,closed,0,0,0,0,0
Case 2207,assign-seriousness,0,0,0,0,44
Case 2207,assign-seriousness take-in-charge-ticket,1,0,0,0,44
Case 2207,assign-seriousness take-in-charge-ticket wait,2,5,5,5,38
Case 2207,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,14,15,9,29
Case 2207,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,14,9,0,29
Case 2207,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,43,29,29,0
Case 325,assign-seriousness,0,0,0,0,20
Case 325,assign-seriousness take-in-charge-ticket,1,0,0,0,20
Case 325,assign-seriousness take-in-charge-ticket resolve-ticket,2,5,5,5,15
Case 325,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,20,20,15,0
Case 2354,assign-seriousness,0,0,0,0,20
Case 2354,assign-seriousness take-in-charge-ticket,1,0,0,0,20
Case 2354,assign-seriousness take-in-charge-ticket resolve-ticket,2,5,5,5,15
Case 2354,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,20,20,15,0
Case 3147,resolve-ticket,0,0,0,0,15
Case 3147,resolve-ticket closed,1,15,0,15,0
Case 2703,take-in-charge-ticket,0,0,0,0,18
Case 2703,take-in-charge-ticket resolve-ticket,1,3,0,3,15
Case 2703,take-in-charge-ticket resolve-ticket closed,2,18,18,15,0
Case 3319,closed,0,0,0,0,0
Case 1688,assign-seriousness,0,0,0,0,57
Case 1688,assign-seriousness take-in-charge-ticket,1,0,0,0,57
Case 1688,assign-seriousness take-in-charge-ticket wait,2,1,1,1,56
Case 1688,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,1,1,0,55
Case 1688,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,4,4,3,52
Case 1688,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket,5,28,28,24,27
Case 1688,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,28,24,0,27
Case 1688,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,7,55,27,27,0
Case 25,closed,0,0,0,0,0
Case 4382,assign-seriousness,0,0,0,0,45
Case 4382,assign-seriousness take-in-charge-ticket,1,4,0,4,41
Case 4382,assign-seriousness take-in-charge-ticket resolve-ticket,2,12,13,8,32
Case 4382,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,44,41,32,0
Case 2355,resolve-ticket,0,0,0,0,15
Case 2355,resolve-ticket closed,1,15,0,15,0
Case 2936,assign-seriousness,0,0,0,0,43
Case 2936,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 2936,assign-seriousness take-in-charge-ticket wait,2,0,0,0,43
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,13,13,29
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,13,13,0,29
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,13,0,0,29
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,13,0,0,29
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,7,42,29,29,0
Case 2184,closed,0,0,0,0,0
Case 2527,closed,0,0,0,0,0
Case 3453,assign-seriousness,0,0,0,0,45
Case 3453,assign-seriousness assign-seriousness,1,0,0,0,45
Case 3453,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,45
Case 3453,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,2,2,2,43
Case 3453,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,45,45,43,0
Case 3499,assign-seriousness,0,0,0,0,43
Case 3499,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 3499,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,42
Case 3499,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,42,0
Case 2311,assign-seriousness,0,0,0,0,50
Case 2311,assign-seriousness take-in-charge-ticket,1,0,0,0,50
Case 2311,assign-seriousness take-in-charge-ticket wait,2,5,5,5,45
Case 2311,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,5,5,0,44
Case 2311,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,5,0,0,44
Case 2311,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,49,44,44,0
Case 3923,assign-seriousness,0,0,0,0,52
Case 3923,assign-seriousness take-in-charge-ticket,1,0,0,0,52
Case 3923,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,1,0,51
Case 3923,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,51,52,51,0
Case 4146,closed,0,0,0,0,0
Case 1512,resolve-ticket,0,0,0,0,45
Case 1512,resolve-ticket closed,1,45,0,45,0
Case 2670,assign-seriousness,0,0,0,0,58
Case 2670,assign-seriousness take-in-charge-ticket,1,0,0,0,58
Case 2670,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 2670,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,0
Case 628,wait,0,0,0,0,19
Case 628,wait take-in-charge-ticket,1,1,0,1,17
Case 628,wait take-in-charge-ticket resolve-ticket,2,1,1,0,17
Case 628,wait take-in-charge-ticket resolve-ticket closed,3,18,17,17,0
Case 832,assign-seriousness,0,0,0,0,58
Case 832,assign-seriousness take-in-charge-ticket,1,0,0,0,58
Case 832,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 832,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,0
Case 1897,assign-seriousness,0,0,0,0,57
Case 1897,assign-seriousness take-in-charge-ticket,1,0,0,0,57
Case 1897,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,56
Case 1897,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,11,12,11,45
Case 1897,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,11,12,0,44
Case 1897,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,55,45,44,0
Case 1227,assign-seriousness,0,0,0,0,58
Case 1227,assign-seriousness take-in-charge-ticket,1,1,0,1,57
Case 1227,assign-seriousness take-in-charge-ticket wait,2,13,13,12,44
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,12,0,44
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,13,0,0,44
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket,5,40,27,27,17
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,40,27,0,17
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,7,57,17,17,0
Case 2519,assign-seriousness,0,0,0,0,51
Case 2519,assign-seriousness take-in-charge-ticket,1,0,0,0,51
Case 2519,assign-seriousness take-in-charge-ticket wait,2,0,0,0,50
Case 2519,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,5,5,5,45
Case 2519,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,5,5,0,45
Case 2519,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,50,45,45,0
Case 468,take-in-charge-ticket,0,0,0,0,41
Case 468,take-in-charge-ticket resolve-ticket,1,0,0,0,41
Case 468,take-in-charge-ticket resolve-ticket closed,2,41,41,41,0
Case 915,closed,0,0,0,0,0
Case 1276,closed,0,0,0,0,0
Case 1300,closed,0,0,0,0,0
Case 2425,assign-seriousness,0,0,0,0,54
Case 2425,assign-seriousness take-in-charge-ticket,1,0,0,0,54
Case 2425,assign-seriousness take-in-charge-ticket resolve-ticket,2,15,15,15,38
Case 2425,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,38,38,23,15
Case 2425,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,38,23,0,15
Case 2425,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,53,15,15,0
Case 2331,closed,0,0,0,0,0
Case 3972,assign-seriousness,0,0,0,0,43
Case 3972,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 3972,assign-seriousness take-in-charge-ticket resolve-ticket,2,10,10,10,33
Case 3972,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,33,0
Case 3250,assign-seriousness,0,0,0,0,43
Case 3250,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 3250,assign-seriousness take-in-charge-ticket wait,2,12,12,12,31
Case 3250,assign-seriousness take-in-charge-ticket wait wait,3,25,25,13,18
Case 3250,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,28,16,3,14
Case 3250,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,28,3,0,14
Case 3250,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket closed,6,42,14,14,0
Case 3337,assign-seriousness,0,0,0,0,47
Case 3337,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 3337,assign-seriousness take-in-charge-ticket resolve-ticket,2,32,32,32,14
Case 3337,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,46,47,14,0
Case 1005,closed,0,0,0,0,0
Case 1240,closed,0,0,0,0,0
Case 3892,closed,0,0,0,0,0
Case 4346,assign-seriousness,0,0,0,0,43
Case 4346,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 4346,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 4346,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 2424,resolve-ticket,0,0,0,0,24
Case 2424,resolve-ticket closed,1,24,0,24,0
Case 1547,assign-seriousness,0,0,0,0,33
Case 1547,assign-seriousness take-in-charge-ticket,1,0,0,0,33
Case 1547,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,32
Case 1547,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,33,32,0
Case 442,assign-seriousness,0,0,0,0,43
Case 442,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 442,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 442,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 2855,closed,0,0,0,0,0
Case 3631,closed,0,0,0,0,0
Case 3390,take-in-charge-ticket,0,0,0,0,32
Case 3390,take-in-charge-ticket resolve-ticket,1,2,0,2,30
Case 3390,take-in-charge-ticket resolve-ticket closed,2,32,32,30,0
Case 1434,take-in-charge-ticket,0,0,0,0,43
Case 1434,take-in-charge-ticket resolve-ticket,1,0,0,0,42
Case 1434,take-in-charge-ticket resolve-ticket closed,2,42,43,42,0
Case 3697,take-in-charge-ticket,0,0,0,0,22
Case 3697,take-in-charge-ticket wait,1,7,0,7,15
Case 3697,take-in-charge-ticket wait take-in-charge-ticket,2,7,7,0,15
Case 3697,take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,3,7,0,0,15
Case 3697,take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,4,22,15,15,0
Case 3385,assign-seriousness,0,0,0,0,17
Case 3385,assign-seriousness take-in-charge-ticket,1,0,0,0,17
Case 3385,assign-seriousness take-in-charge-ticket wait,2,2,2,2,15
Case 3385,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,2,2,0,15
Case 3385,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,2,0,0,15
Case 3385,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,17,15,15,0
Case 1583,take-in-charge-ticket,0,0,0,0,18
Case 1583,take-in-charge-ticket resolve-ticket,1,3,0,3,15
Case 1583,take-in-charge-ticket resolve-ticket closed,2,18,18,15,0
Case 4113,assign-seriousness,0,0,0,0,18
Case 4113,assign-seriousness take-in-charge-ticket,1,0,0,0,18
Case 4113,assign-seriousness take-in-charge-ticket resolve-ticket,2,3,3,3,15
Case 4113,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,18,18,15,0
Case 929,closed,0,0,0,0,0
Case 1297,closed,0,0,0,0,0
Case 3052,resolve-ticket,0,0,0,0,15
Case 3052,resolve-ticket closed,1,15,0,15,0
Case 3810,assign-seriousness,0,0,0,0,43
Case 3810,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 3810,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 3810,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 1954,closed,0,0,0,0,0
Case 2385,closed,0,0,0,0,0
Case 4439,closed,0,0,0,0,0
Case 1308,closed,0,0,0,0,0
Case 994,resolve-ticket,0,0,0,0,42
Case 994,resolve-ticket closed,1,42,0,42,0
Case 4441,take-in-charge-ticket,0,0,0,0,43
Case 4441,take-in-charge-ticket resolve-ticket,1,0,0,0,43
Case 4441,take-in-charge-ticket resolve-ticket closed,2,43,43,43,0
Case 1504,closed,0,0,0,0,0
Case 3492,assign-seriousness,0,0,0,0,43
Case 3492,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 3492,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 3492,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,0
Case 2751,assign-seriousness,0,0,0,0,47
Case 2751,assign-seriousness take-in-charge-ticket,1,0,0,0,47
Case 2751,assign-seriousness take-in-charge-ticket wait,2,2,2,2,45
Case 2751,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,13,11,34
Case 2751,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,13,11,0,34
Case 2751,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,47,34,34,0
Case 422,closed,0,0,0,0,0
Case 4571,assign-seriousness,0,0,0,0,43
